scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	4330	28	1	0	1095	1094	1095	0.1694729999871924	0.1694729999871924	0	1	-0.1694729999871924	round	sub-011	ses-302	task-s6	3	6
1	4331	28	2	1	270	269	270	3.486254999996163	3.486254999996163	3	4	-0.4862549999961629	round	sub-011	ses-302	task-s6	3	6
2	4332	28	3	2	1005	1004	1005	7.119713999971282	7.119713999971282	7	8	-0.1197139999712817	round	sub-011	ses-302	task-s6	3	6
3	4333	28	4	3	92	91	92	10.653168999997431	10.653168999997431	11	12	0.3468310000025685	round	sub-011	ses-302	task-s6	3	6
4	4334	28	5	4	11142	1641	1642	14.469641999981832	14.469641999981832	14	15	-0.4696419999818317	round	sub-011	ses-302	task-s6	3	6
5	4335	28	6	5	573	572	573	17.686725999985356	17.686725999985356	18	19	0.3132740000146441	round	sub-011	ses-302	task-s6	3	6
6	4336	28	7	7	1026	1025	1026	25.686996000004	25.686996000004	26	27	0.313003999995999	round	sub-011	ses-302	task-s6	3	6
7	4337	28	8	8	617	616	617	29.80381599999964	29.80381599999964	30	31	0.1961840000003611	round	sub-011	ses-302	task-s6	3	6
8	4338	28	9	9	652	651	652	33.33726200001547	33.33726200001547	33	34	-0.3372620000154711	round	sub-011	ses-302	task-s6	3	6
9	4339	28	10	10	635	634	635	36.77070300001651	36.77070300001651	37	38	0.2292969999834895	round	sub-011	ses-302	task-s6	3	6
10	4340	28	11	11	699	698	699	40.987504000018816	40.987504000018816	41	42	0.0124959999811835	round	sub-011	ses-302	task-s6	3	6
11	4341	28	12	13	591	590	591	48.43776399997296	48.43776399997296	48	49	-0.4377639999729581	round	sub-011	ses-302	task-s6	3	6
12	4342	28	13	14	233	232	233	52.07121199998073	52.07121199998073	52	53	-0.0712119999807328	round	sub-011	ses-302	task-s6	3	6
13	4343	28	14	15	1071	1070	1071	55.82133300002897	55.82133300002897	56	57	0.1786669999710284	round	sub-011	ses-302	task-s6	3	6
14	4344	28	15	16	596	595	596	59.73813200002769	59.73813200002769	60	61	0.2618679999723099	round	sub-011	ses-302	task-s6	3	6
15	4345	28	16	17	709	708	709	63.47158999997191	63.47158999997191	63	64	-0.4715899999719113	round	sub-011	ses-302	task-s6	3	6
16	4346	28	17	18	5	4	5	67.388386000006	67.388386000006	67	68	-0.388386000005994	round	sub-011	ses-302	task-s6	3	6
