scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	1268	9	1	0	3359	1231	1232	0.1939939998555928	0.1939939998555928	0	1	-0.1939939998555928	round	sub-020	ses-105	task-s9	1	9
1	1269	9	2	1	3126	1220	1221	3.5106829998549074	3.5106829998549074	4	5	0.4893170001450926	round	sub-020	ses-105	task-s9	1	9
2	1270	9	3	2	5678	1347	1348	7.044426999986172	7.044426999986172	7	8	-0.0444269999861717	round	sub-020	ses-105	task-s9	1	9
3	1271	9	4	3	11036	1615	1616	10.577889999840409	10.577889999840409	11	12	0.4221100001595914	round	sub-020	ses-105	task-s9	1	9
4	1272	9	5	4	4636	1295	1296	14.711365999886766	14.711365999886766	15	16	0.2886340001132339	round	sub-020	ses-105	task-s9	1	9
5	1273	9	6	5	2531	1191	1192	18.211478000041097	18.211478000041097	18	19	-0.2114780000410974	round	sub-020	ses-105	task-s9	1	9
6	1274	9	7	6	1974	1162	1163	21.82826999993995	21.82826999993995	22	23	0.1717300000600516	round	sub-020	ses-105	task-s9	1	9
7	1275	9	8	7	9902	1558	1559	25.64507899992168	25.64507899992168	26	27	0.3549210000783205	round	sub-020	ses-105	task-s9	1	9
8	1276	9	9	8	10767	1602	1603	29.161571000004187	29.161571000004187	29	30	-0.1615710000041872	round	sub-020	ses-105	task-s9	1	9
9	1277	9	10	9	7324	1431	1432	33.16200599982403	33.16200599982403	33	34	-0.1620059998240322	round	sub-020	ses-105	task-s9	1	9
10	1278	9	11	10	6502	1389	1390	36.61211699992418	36.61211699992418	37	38	0.3878830000758171	round	sub-020	ses-105	task-s9	1	9
11	1279	9	12	11	10568	1593	1594	40.04557099984959	40.04557099984959	40	41	-0.0455709998495876	round	sub-020	ses-105	task-s9	1	9
12	1280	9	13	12	6085	1368	1369	43.3620449998416	43.3620449998416	43	44	-0.3620449998416006	round	sub-020	ses-105	task-s9	1	9
13	1281	9	14	13	10521	1590	1591	46.57913500000723	46.57913500000723	47	48	0.4208649999927729	round	sub-020	ses-105	task-s9	1	9
