scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2878	19	1	0	38	37	38	0.1634279999416321	0.1634279999416321	0	1	-0.1634279999416321	round	sub-006	ses-202	task-s8	2	8
1	2879	19	2	1	83	82	83	3.496874999953434	3.496874999953434	3	4	-0.4968749999534338	round	sub-006	ses-202	task-s8	2	8
2	2880	19	3	2	904	903	904	7.047007000073791	7.047007000073791	7	8	-0.0470070000737914	round	sub-006	ses-202	task-s8	2	8
3	2881	19	4	3	11172	1671	1672	10.863448000047356	10.863448000047356	11	12	0.1365519999526441	round	sub-006	ses-202	task-s8	2	8
4	2882	19	5	4	606	605	606	14.280556000070646	14.280556000070646	14	15	-0.2805560000706464	round	sub-006	ses-202	task-s8	2	8
5	2883	19	6	5	855	854	855	18.397370000137016	18.397370000137016	18	19	-0.3973700001370162	round	sub-006	ses-202	task-s8	2	8
6	2884	19	7	6	846	845	846	21.91381800011732	21.91381800011732	22	23	0.0861819998826796	round	sub-006	ses-202	task-s8	2	8
7	2885	19	8	7	368	367	368	25.530952000059187	25.530952000059187	26	27	0.4690479999408126	round	sub-006	ses-202	task-s8	2	8
8	2886	19	9	8	764	763	764	29.28106900001876	29.28106900001876	29	30	-0.2810690000187605	round	sub-006	ses-202	task-s8	2	8
9	2887	19	10	9	142	141	142	33.497883999953046	33.497883999953046	33	34	-0.4978839999530464	round	sub-006	ses-202	task-s8	2	8
10	2888	19	11	10	808	807	808	37.5313460000325	37.5313460000325	38	39	0.4686539999675005	round	sub-006	ses-202	task-s8	2	8
11	2889	19	12	11	264	263	264	41.16479100007564	41.16479100007564	41	42	-0.1647910000756383	round	sub-006	ses-202	task-s8	2	8
12	2890	19	13	12	216	215	216	45.19797700014897	45.19797700014897	45	46	-0.1979770001489669	round	sub-006	ses-202	task-s8	2	8
13	2891	19	14	13	532	531	532	48.51504099997692	48.51504099997692	49	50	0.4849590000230819	round	sub-006	ses-202	task-s8	2	8
14	2892	19	15	14	1066	1065	1066	52.13154700002633	52.13154700002633	52	53	-0.1315470000263303	round	sub-006	ses-202	task-s8	2	8
15	2893	19	16	15	476	475	476	55.54860500013456	55.54860500013456	56	57	0.4513949998654425	round	sub-006	ses-202	task-s8	2	8
16	2894	19	17	16	159	158	159	59.68207700015046	59.68207700015046	60	61	0.317922999849543	round	sub-006	ses-202	task-s8	2	8
17	2895	19	18	17	956	955	956	63.41553400014527	63.41553400014527	63	64	-0.4155340001452714	round	sub-006	ses-202	task-s8	2	8
18	2896	19	19	18	1013	1012	1013	67.64874500012957	67.64874500012957	68	69	0.3512549998704344	round	sub-006	ses-202	task-s8	2	8
19	2897	19	20	19	410	409	410	71.78211900009774	71.78211900009774	72	73	0.2178809999022632	round	sub-006	ses-202	task-s8	2	8
20	2898	19	21	20	818	817	818	75.71594400005415	75.71594400005415	76	77	0.2840559999458492	round	sub-006	ses-202	task-s8	2	8
21	2899	19	22	21	182	181	182	79.23243400012143	79.23243400012143	79	80	-0.2324340001214295	round	sub-006	ses-202	task-s8	2	8
22	2900	19	23	22	302	301	302	82.54950700001791	82.54950700001791	83	84	0.4504929999820888	round	sub-006	ses-202	task-s8	2	8
23	2901	19	24	23	81	80	81	86.48296599998139	86.48296599998139	86	87	-0.4829659999813884	round	sub-006	ses-202	task-s8	2	8
24	2902	19	25	25	917	916	917	93.18319400004113	93.18319400004113	93	94	-0.1831940000411265	round	sub-006	ses-202	task-s8	2	8
25	2903	19	26	26	432	431	432	96.99997300002724	96.99997300002724	97	98	2.6999972760677338e-05	round	sub-006	ses-202	task-s8	2	8
26	2904	19	27	27	916	915	916	100.69973300001584	100.69973300001584	101	102	0.30026699998416	round	sub-006	ses-202	task-s8	2	8
27	2905	19	28	28	11246	1745	1746	104.71690899995156	104.71690899995156	105	106	0.2830910000484437	round	sub-006	ses-202	task-s8	2	8
28	2906	19	29	29	991	990	991	108.31703900010324	108.31703900010324	108	109	-0.3170390001032359	round	sub-006	ses-202	task-s8	2	8
29	2907	19	30	30	18	17	18	112.46716800006106	112.46716800006106	112	113	-0.4671680000610649	round	sub-006	ses-202	task-s8	2	8
30	2908	19	31	31	863	862	863	116.11699900007808	116.11699900007808	116	117	-0.1169990000780814	round	sub-006	ses-202	task-s8	2	8
31	2909	19	32	32	542	541	542	119.73406899999829	119.73406899999829	120	121	0.2659310000017143	round	sub-006	ses-202	task-s8	2	8
