scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	4172	27	1	0	1082	1081	1082	0.1456520000065211	0.1456520000065211	0	1	-0.1456520000065211	round	sub-017	ses-302	task-s5	3	5
1	4173	27	2	1	1118	1117	1118	4.162657000008039	4.162657000008039	4	5	-0.1626570000080391	round	sub-017	ses-302	task-s5	3	5
2	4174	27	3	2	35	34	35	8.29607300000498	8.29607300000498	8	9	-0.2960730000049807	round	sub-017	ses-302	task-s5	3	5
3	4175	27	4	3	11186	1685	1686	12.096206000001985	12.096206000001985	12	13	-0.0962060000019846	round	sub-017	ses-302	task-s5	3	5
4	4176	27	5	4	932	931	932	16.229718000002322	16.229718000002322	16	17	-0.2297180000023218	round	sub-017	ses-302	task-s5	3	5
5	4177	27	6	5	443	442	443	19.996532000004663	19.996532000004663	20	21	0.0034679999953368	round	sub-017	ses-302	task-s5	3	5
6	4178	27	7	6	854	853	854	23.7466310000018	23.7466310000018	24	25	0.2533689999982016	round	sub-017	ses-302	task-s5	3	5
7	4179	27	8	8	801	800	801	31.496897000004537	31.496897000004537	31	32	-0.4968970000045374	round	sub-017	ses-302	task-s5	3	5
8	4180	27	9	9	11214	1713	1714	34.94699300000502	34.94699300000502	35	36	0.0530069999949773	round	sub-017	ses-302	task-s5	3	5
9	4181	27	10	10	356	355	356	38.46377600000415	38.46377600000415	38	39	-0.4637760000041524	round	sub-017	ses-302	task-s5	3	5
10	4182	27	11	11	563	562	563	42.38057200000912	42.38057200000912	42	43	-0.380572000009117	round	sub-017	ses-302	task-s5	3	5
11	4183	27	12	12	278	277	278	45.83070500000031	45.83070500000031	46	47	0.1692949999996926	round	sub-017	ses-302	task-s5	3	5
12	4184	27	13	13	844	843	844	49.98082799999975	49.98082799999975	50	51	0.0191720000002533	round	sub-017	ses-302	task-s5	3	5
13	4185	27	14	15	11157	1656	1657	57.84775100000843	57.84775100000843	58	59	0.1522489999915706	round	sub-017	ses-302	task-s5	3	5
14	4186	27	15	16	993	992	993	61.16428199999791	61.16428199999791	61	62	-0.164281999997911	round	sub-017	ses-302	task-s5	3	5
15	4187	27	16	17	983	982	983	64.41464200000337	64.41464200000337	64	65	-0.4146420000033686	round	sub-017	ses-302	task-s5	3	5
16	4188	27	17	18	667	666	667	68.34809600000153	68.34809600000153	68	69	-0.3480960000015329	round	sub-017	ses-302	task-s5	3	5
17	4189	27	18	19	1050	1049	1050	72.39822899999854	72.39822899999854	72	73	-0.3982289999985369	round	sub-017	ses-302	task-s5	3	5
