scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	444;2177;3913	444;2177;3913	3;14;25	127;92;60	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	444	3	127	sub-021	ses-102	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	112;1909;3621	112;1909;3621	1;12;23	113;142;86	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	112	1	113	sub-021	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	236;2032;3783	236;2032;3783	2;13;24	78;106;89	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	236	2	78	sub-021	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	558;2383;4149	558;2383;4149	4;15;26	82;139;137	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	558	4	82	sub-021	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	848;2623;4443	848;2623;4443	6;17;28	55;62;114	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	848	6	55	sub-021	ses-103	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	908;2692;4427	908;2692;4427	6;17;28	115;131;98	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	908	6	115	sub-021	ses-103	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1032;2777;4645	1032;2777;4645	7;18;29	81;58;158	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1032	7	81	sub-021	ses-103	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1115;2978;4652	1115;2978;4652	8;19;30	6;101;7	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1115	8	6	sub-021	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	983;2830;4531	983;2830;4531	7;18;29	32;111;44	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	983	7	32	sub-021	ses-103	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	969;2832;4640	969;2832;4640	7;18;29	18;113;153	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	969	7	18	sub-021	ses-103	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	95;1824;3582	95;1824;3582	1;12;23	96;57;47	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	95	1	96	sub-021	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	79;1779;3604	79;1779;3604	1;12;23	80;12;69	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	79	1	80	sub-021	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	834;2562;4406	834;2562;4406	6;17;28	41;1;77	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	834	6	41	sub-021	ses-103	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	457;2191;3891	457;2191;3891	3;14;25	140;106;38	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	457	3	140	sub-021	ses-102	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1131;2990;4713	1131;2990;4713	8;19;30	22;113;68	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1131	8	22	sub-021	ses-103	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	771;2516;4304	771;2516;4304	5;16;27	136;113;133	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	771	5	136	sub-021	ses-102	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	336;2100;3903	336;2100;3903	3;14;25	19;15;50	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	336	3	19	sub-021	ses-102	task-s3	1;2;3	3;3;3
17	18	17	18	3	3	trialwise	1118;2966;4759	1118;2966;4759	8;19;30	9;89;114	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1118	8	9	sub-021	ses-103	task-s8	1;2;3	8;8;8
18	19	18	19	3	3	trialwise	886;2638;4345	886;2638;4345	6;17;28	93;77;16	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	886	6	93	sub-021	ses-103	task-s6	1;2;3	6;6;6
19	20	19	20	3	3	trialwise	807;2588;4340	807;2588;4340	6;17;28	14;27;11	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	807	6	14	sub-021	ses-103	task-s6	1;2;3	6;6;6
20	21	20	21	3	3	trialwise	460;2115;3882	460;2115;3882	3;14;25	143;30;29	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	460	3	143	sub-021	ses-102	task-s3	1;2;3	3;3;3
21	22	21	22	3	3	trialwise	774;2544;4227	774;2544;4227	5;16;27	139;141;56	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	774	5	139	sub-021	ses-102	task-s5	1;2;3	5;5;5
22	23	22	23	3	3	trialwise	781;2438;4326	781;2438;4326	5;16;27	146;35;155	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	781	5	146	sub-021	ses-102	task-s5	1;2;3	5;5;5
23	24	23	24	3	3	trialwise	235;1927;3727	235;1927;3727	2;13;24	77;1;33	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	235	2	77	sub-021	ses-101	task-s2	1;2;3	2;2;2
24	25	24	25	3	3	trialwise	115;1902;3625	115;1902;3625	1;12;23	116;135;90	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	115	1	116	sub-021	ses-101	task-s1	1;2;3	1;1;1
25	26	25	26	3	3	trialwise	177;2042;3837	177;2042;3837	2;13;24	19;116;143	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	177	2	19	sub-021	ses-101	task-s2	1;2;3	2;2;2
26	27	26	27	3	3	trialwise	1095;2737;4573	1095;2737;4573	7;18;29	144;18;86	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1095	7	144	sub-021	ses-103	task-s7	1;2;3	7;7;7
27	28	27	28	3	3	trialwise	415;2201;3987	415;2201;3987	3;14;25	98;116;134	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	415	3	98	sub-021	ses-102	task-s3	1;2;3	3;3;3
28	29	28	29	3	3	trialwise	583;2309;4105	583;2309;4105	4;15;26	107;65;93	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	583	4	107	sub-021	ses-102	task-s4	1;2;3	4;4;4
29	30	29	30	3	3	trialwise	712;2419;4269	712;2419;4269	5;16;27	77;16;98	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	712	5	77	sub-021	ses-102	task-s5	1;2;3	5;5;5
30	31	30	31	3	3	trialwise	244;1932;3739	244;1932;3739	2;13;24	86;6;45	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	244	2	86	sub-021	ses-101	task-s2	1;2;3	2;2;2
31	32	31	32	3	3	trialwise	1088;2833;4544	1088;2833;4544	7;18;29	137;114;57	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1088	7	137	sub-021	ses-103	task-s7	1;2;3	7;7;7
32	33	32	33	3	3	trialwise	1074;2813;4563	1074;2813;4563	7;18;29	123;94;76	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1074	7	123	sub-021	ses-103	task-s7	1;2;3	7;7;7
33	34	33	34	3	3	trialwise	995;2858;4530	995;2858;4530	7;18;29	44;139;43	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	995	7	44	sub-021	ses-103	task-s7	1;2;3	7;7;7
34	35	34	35	3	3	trialwise	708;2522;4324	708;2522;4324	5;16;27	73;119;153	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	708	5	73	sub-021	ses-102	task-s5	1;2;3	5;5;5
35	36	35	36	3	3	trialwise	629;2298;4157	629;2298;4157	4;15;26	153;54;145	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	629	4	153	sub-021	ses-102	task-s4	1;2;3	4;4;4
36	37	36	37	3	3	trialwise	159;2084;3786	159;2084;3786	2;13;24	1;158;92	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	159	2	1	sub-021	ses-101	task-s2	1;2;3	2;2;2
37	38	37	38	3	3	trialwise	1158;2934;4707	1158;2934;4707	8;19;30	49;57;62	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1158	8	49	sub-021	ses-103	task-s8	1;2;3	8;8;8
38	39	38	39	3	3	trialwise	855;2614;4361	855;2614;4361	6;17;28	62;53;32	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	855	6	62	sub-021	ses-103	task-s6	1;2;3	6;6;6
39	40	39	40	3	3	trialwise	1206;2940;4792	1206;2940;4792	8;19;30	97;63;147	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1206	8	97	sub-021	ses-103	task-s8	1;2;3	8;8;8
40	41	40	41	3	3	trialwise	1135;2931;4756	1135;2931;4756	8;19;30	26;54;111	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1135	8	26	sub-021	ses-103	task-s8	1;2;3	8;8;8
41	42	41	42	3	3	trialwise	332;2136;3862	332;2136;3862	3;14;25	15;51;9	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	332	3	15	sub-021	ses-102	task-s3	1;2;3	3;3;3
42	43	42	43	3	3	trialwise	107;1894;3672	107;1894;3672	1;12;23	108;127;137	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	107	1	108	sub-021	ses-101	task-s1	1;2;3	1;1;1
43	44	43	44	3	3	trialwise	307;2044;3844	307;2044;3844	2;13;24	149;118;150	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	307	2	149	sub-021	ses-101	task-s2	1;2;3	2;2;2
44	45	44	45	3	3	trialwise	368;2175;3916	368;2175;3916	3;14;25	51;90;63	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	368	3	51	sub-021	ses-102	task-s3	1;2;3	3;3;3
45	46	45	46	3	3	trialwise	263;2082;3736	263;2082;3736	2;13;24	105;156;42	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	263	2	105	sub-021	ses-101	task-s2	1;2;3	2;2;2
46	47	46	47	3	3	trialwise	1138;2996;4714	1138;2996;4714	8;19;30	29;119;69	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1138	8	29	sub-021	ses-103	task-s8	1;2;3	8;8;8
47	48	47	48	3	3	trialwise	78;1806;3596	78;1806;3596	1;12;23	79;39;61	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	78	1	79	sub-021	ses-101	task-s1	1;2;3	1;1;1
48	49	48	49	3	3	trialwise	65;1860;3647	65;1860;3647	1;12;23	66;93;112	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	65	1	66	sub-021	ses-101	task-s1	1;2;3	1;1;1
49	50	49	50	3	3	trialwise	267;1971;3713	267;1971;3713	2;13;24	109;45;19	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	267	2	109	sub-021	ses-101	task-s2	1;2;3	2;2;2
50	51	50	51	3	3	trialwise	403;2104;3931	403;2104;3931	3;14;25	86;19;78	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	403	3	86	sub-021	ses-102	task-s3	1;2;3	3;3;3
51	52	51	52	3	3	trialwise	469;2241;4011	469;2241;4011	3;14;25	152;156;158	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	469	3	152	sub-021	ses-102	task-s3	1;2;3	3;3;3
52	53	52	53	3	3	trialwise	810;2697;4341	810;2697;4341	6;17;28	17;136;12	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	810	6	17	sub-021	ses-103	task-s6	1;2;3	6;6;6
53	54	53	54	3	3	trialwise	1114;2984;4657	1114;2984;4657	8;19;30	5;107;12	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1114	8	5	sub-021	ses-103	task-s8	1;2;3	8;8;8
54	55	54	55	3	3	trialwise	1005;2846;4616	1005;2846;4616	7;18;29	54;127;129	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1005	7	54	sub-021	ses-103	task-s7	1;2;3	7;7;7
55	56	55	56	3	3	trialwise	644;2492;4278	644;2492;4278	5;16;27	9;89;107	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	644	5	9	sub-021	ses-102	task-s5	1;2;3	5;5;5
56	57	56	57	3	3	trialwise	696;2427;4302	696;2427;4302	5;16;27	61;24;131	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	696	5	61	sub-021	ses-102	task-s5	1;2;3	5;5;5
57	58	57	58	3	3	trialwise	917;2667;4387	917;2667;4387	6;17;28	124;106;58	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	917	6	124	sub-021	ses-103	task-s6	1;2;3	6;6;6
58	59	58	59	3	3	trialwise	1038;2816;4553	1038;2816;4553	7;18;29	87;97;66	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1038	7	87	sub-021	ses-103	task-s7	1;2;3	7;7;7
59	60	59	60	3	3	trialwise	1027;2876;4619	1027;2876;4619	7;18;29	76;157;132	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1027	7	76	sub-021	ses-103	task-s7	1;2;3	7;7;7
60	61	60	61	3	3	trialwise	29;1888;3574	29;1888;3574	1;12;23	30;121;39	sub-021_ses-101_task-s1;sub-021_ses-201_task-s1;sub-021_ses-301_task-s1	29	1	30	sub-021	ses-101	task-s1	1;2;3	1;1;1
61	62	61	62	3	3	trialwise	1060;2869;4556	1060;2869;4556	7;18;29	109;150;69	sub-021_ses-103_task-s7;sub-021_ses-202_task-s7;sub-021_ses-302_task-s7	1060	7	109	sub-021	ses-103	task-s7	1;2;3	7;7;7
62	63	62	63	3	3	trialwise	474;2200;3981	474;2200;3981	3;14;25	157;115;128	sub-021_ses-102_task-s3;sub-021_ses-201_task-s3;sub-021_ses-301_task-s3	474	3	157	sub-021	ses-102	task-s3	1;2;3	3;3;3
63	64	63	64	3	3	trialwise	584;2253;4029	584;2253;4029	4;15;26	108;9;17	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	584	4	108	sub-021	ses-102	task-s4	1;2;3	4;4;4
64	65	64	65	3	3	trialwise	770;2469;4300	770;2469;4300	5;16;27	135;66;129	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	770	5	135	sub-021	ses-102	task-s5	1;2;3	5;5;5
65	66	65	66	3	3	trialwise	1248;2941;4685	1248;2941;4685	8;19;30	139;64;40	sub-021_ses-103_task-s8;sub-021_ses-203_task-s8;sub-021_ses-302_task-s8	1248	8	139	sub-021	ses-103	task-s8	1;2;3	8;8;8
66	67	66	67	3	3	trialwise	500;2313;4135	500;2313;4135	4;15;26	24;69;123	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	500	4	24	sub-021	ses-102	task-s4	1;2;3	4;4;4
67	68	67	68	3	3	trialwise	814;2604;4394	814;2604;4394	6;17;28	21;43;65	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	814	6	21	sub-021	ses-103	task-s6	1;2;3	6;6;6
68	69	68	69	3	3	trialwise	609;2252;4062	609;2252;4062	4;15;26	133;8;50	sub-021_ses-102_task-s4;sub-021_ses-202_task-s4;sub-021_ses-301_task-s4	609	4	133	sub-021	ses-102	task-s4	1;2;3	4;4;4
69	70	69	70	3	3	trialwise	757;2406;4275	757;2406;4275	5;16;27	122;3;104	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	757	5	122	sub-021	ses-102	task-s5	1;2;3	5;5;5
70	71	70	71	3	3	trialwise	831;2587;4432	831;2587;4432	6;17;28	38;26;103	sub-021_ses-103_task-s6;sub-021_ses-202_task-s6;sub-021_ses-302_task-s6	831	6	38	sub-021	ses-103	task-s6	1;2;3	6;6;6
71	72	71	72	3	3	trialwise	182;2025;3723	182;2025;3723	2;13;24	24;99;29	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	182	2	24	sub-021	ses-101	task-s2	1;2;3	2;2;2
72	73	72	73	3	3	trialwise	639;2500;4216	639;2500;4216	5;16;27	4;97;45	sub-021_ses-102_task-s5;sub-021_ses-202_task-s5;sub-021_ses-305_task-s5	639	5	4	sub-021	ses-102	task-s5	1;2;3	5;5;5
73	74	73	74	3	3	trialwise	308;1966;3795	308;1966;3795	2;13;24	150;40;101	sub-021_ses-101_task-s2;sub-021_ses-201_task-s2;sub-021_ses-301_task-s2	308	2	150	sub-021	ses-101	task-s2	1;2;3	2;2;2
