scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2404	16	1	0	443	442	443	0.1677449999842792	0.1677449999842792	0	1	-0.1677449999842792	round	sub-001	ses-202	task-s5	2	5
1	2405	16	2	1	364	363	364	3.3842660000082105	3.3842660000082105	3	4	-0.3842660000082105	round	sub-001	ses-202	task-s5	2	5
2	2406	16	3	2	854	853	854	7.417701000114903	7.417701000114903	7	8	-0.4177010001149028	round	sub-001	ses-202	task-s5	2	5
3	2407	16	4	3	691	690	691	10.842428999952972	10.842428999952972	11	12	0.157571000047028	round	sub-001	ses-202	task-s5	2	5
4	2408	16	5	4	23	22	23	14.867886000080034	14.867886000080034	15	16	0.1321139999199658	round	sub-001	ses-202	task-s5	2	5
5	2409	16	6	5	104	103	104	18.290828000055622	18.290828000055622	18	19	-0.2908280000556225	round	sub-001	ses-202	task-s5	2	5
6	2410	16	7	6	422	421	422	21.618143999949098	21.618143999949098	22	23	0.3818560000509023	round	sub-001	ses-202	task-s5	2	5
7	2411	16	8	8	628	627	628	28.851818999974057	28.851818999974057	29	30	0.1481810000259429	round	sub-001	ses-202	task-s5	2	5
8	2412	16	9	9	695	694	695	32.80194799997844	32.80194799997844	33	34	0.1980520000215619	round	sub-001	ses-202	task-s5	2	5
9	2413	16	10	10	451	450	451	36.55206499993801	36.55206499993801	37	38	0.4479350000619888	round	sub-001	ses-202	task-s5	2	5
10	2414	16	11	11	252	251	252	39.8772150001023	39.8772150001023	40	41	0.1227849998977035	round	sub-001	ses-202	task-s5	2	5
11	2415	16	12	12	841	840	841	43.30239300010726	43.30239300010726	43	44	-0.3023930001072585	round	sub-001	ses-202	task-s5	2	5
12	2416	16	13	13	1075	1074	1075	46.7248879999388	46.7248879999388	47	48	0.275112000061199	round	sub-001	ses-202	task-s5	2	5
13	2417	16	14	15	381	380	381	53.8194609999191	53.8194609999191	54	55	0.1805390000808984	round	sub-001	ses-202	task-s5	2	5
