scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	351;2192;3941	351;2192;3941	3;14;25	34;107;88	sub-008_ses-102_task-s3;sub-008_ses-201_task-s3;sub-008_ses-301_task-s3	351	3	34	sub-008	ses-102	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	19;1894;3662	19;1894;3662	1;12;23	20;127;127	sub-008_ses-101_task-s1;sub-008_ses-201_task-s1;sub-008_ses-301_task-s1	19	1	20	sub-008	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	235;1961;3816	235;1961;3816	2;13;24	77;35;122	sub-008_ses-101_task-s2;sub-008_ses-201_task-s2;sub-008_ses-301_task-s2	235	2	77	sub-008	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	614;2276;4031	614;2276;4031	4;15;26	138;32;19	sub-008_ses-102_task-s4;sub-008_ses-201_task-s4;sub-008_ses-302_task-s4	614	4	138	sub-008	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	799;2617;4422	799;2617;4422	6;17;28	6;56;93	sub-008_ses-103_task-s6;sub-008_ses-202_task-s6;sub-008_ses-303_task-s6	799	6	6	sub-008	ses-103	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	847;2685;4418	847;2685;4418	6;17;28	54;124;89	sub-008_ses-103_task-s6;sub-008_ses-202_task-s6;sub-008_ses-303_task-s6	847	6	54	sub-008	ses-103	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	960;2845;4637	960;2845;4637	7;18;29	9;126;150	sub-008_ses-103_task-s7;sub-008_ses-203_task-s7;sub-008_ses-303_task-s7	960	7	9	sub-008	ses-103	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1122;2906;4676	1122;2906;4676	8;19;30	13;29;31	sub-008_ses-103_task-s8;sub-008_ses-203_task-s8;sub-008_ses-303_task-s8	1122	8	13	sub-008	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	978;2858;4625	978;2858;4625	7;18;29	27;139;138	sub-008_ses-103_task-s7;sub-008_ses-203_task-s7;sub-008_ses-303_task-s7	978	7	27	sub-008	ses-103	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1032;2738;4501	1032;2738;4501	7;18;29	81;19;14	sub-008_ses-103_task-s7;sub-008_ses-203_task-s7;sub-008_ses-303_task-s7	1032	7	81	sub-008	ses-103	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	115;1907;3675	115;1907;3675	1;12;23	116;140;140	sub-008_ses-101_task-s1;sub-008_ses-201_task-s1;sub-008_ses-301_task-s1	115	1	116	sub-008	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	112;1786;3554	112;1786;3554	1;12;23	113;19;19	sub-008_ses-101_task-s1;sub-008_ses-201_task-s1;sub-008_ses-301_task-s1	112	1	113	sub-008	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	885;2659;4358	885;2659;4358	6;17;28	92;98;29	sub-008_ses-103_task-s6;sub-008_ses-202_task-s6;sub-008_ses-303_task-s6	885	6	92	sub-008	ses-103	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	427;2161;3997	427;2161;3997	3;14;25	110;76;144	sub-008_ses-102_task-s3;sub-008_ses-201_task-s3;sub-008_ses-301_task-s3	427	3	110	sub-008	ses-102	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1229;3023;4779	1229;3023;4779	8;19;30	120;146;134	sub-008_ses-103_task-s8;sub-008_ses-203_task-s8;sub-008_ses-303_task-s8	1229	8	120	sub-008	ses-103	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	652;2499;4297	652;2499;4297	5;16;27	17;96;126	sub-008_ses-102_task-s5;sub-008_ses-201_task-s5;sub-008_ses-303_task-s5	652	5	17	sub-008	ses-102	task-s5	1;2;3	5;5;5
