scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	1768	12	1	0	583	582	583	0.1495929998345673	0.1495929998345673	0	1	-0.1495929998345673	round	sub-002	ses-201	task-s1	2	1
1	1769	12	2	1	741	740	741	4.183053999906406	4.183053999906406	4	5	-0.1830539999064058	round	sub-002	ses-201	task-s1	2	1
2	1770	12	3	2	361	360	361	8.299597000004724	8.299597000004724	8	9	-0.2995970000047236	round	sub-002	ses-201	task-s1	2	1
3	1771	12	4	3	49	48	49	12.449651999864727	12.449651999864727	12	13	-0.4496519998647272	round	sub-002	ses-201	task-s1	2	1
4	1772	12	5	4	11146	1645	1646	16.683164999820292	16.683164999820292	17	18	0.316835000179708	round	sub-002	ses-201	task-s1	2	1
5	1773	12	6	5	506	505	506	20.10024999990128	20.10024999990128	20	21	-0.1002499999012798	round	sub-002	ses-201	task-s1	2	1
6	1774	12	7	6	94	93	94	24.13371399999596	24.13371399999596	24	25	-0.1337139999959582	round	sub-002	ses-201	task-s1	2	1
7	1775	12	8	7	663	662	663	28.05051499977708	28.05051499977708	28	29	-0.0505149997770786	round	sub-002	ses-201	task-s1	2	1
8	1776	12	9	8	982	981	982	31.76731299981475	31.76731299981475	32	33	0.2326870001852512	round	sub-002	ses-201	task-s1	2	1
9	1777	12	10	9	722	721	722	35.667191999964416	35.667191999964416	36	37	0.332808000035584	round	sub-002	ses-201	task-s1	2	1
10	1778	12	11	10	250	249	250	39.60089499992319	39.60089499992319	40	41	0.3991050000768084	round	sub-002	ses-201	task-s1	2	1
11	1779	12	12	11	11154	1653	1654	43.53436900000088	43.53436900000088	44	45	0.4656309999991208	round	sub-002	ses-201	task-s1	2	1
12	1780	12	13	13	890	889	890	51.35101999994368	51.35101999994368	51	52	-0.3510199999436807	round	sub-002	ses-201	task-s1	2	1
13	1781	12	14	14	632	631	632	55.168101999908686	55.168101999908686	55	56	-0.1681019999086856	round	sub-002	ses-201	task-s1	2	1
14	1782	12	15	15	631	630	631	58.618196999887004	58.618196999887004	59	60	0.3818030001129955	round	sub-002	ses-201	task-s1	2	1
15	1783	12	16	16	11236	1735	1736	62.73500099987723	62.73500099987723	63	64	0.2649990001227706	round	sub-002	ses-201	task-s1	2	1
16	1784	12	17	17	693	692	693	66.08511799992993	66.08511799992993	66	67	-0.0851179999299347	round	sub-002	ses-201	task-s1	2	1
17	1785	12	18	18	350	349	350	69.70190499979071	69.70190499979071	70	71	0.2980950002092868	round	sub-002	ses-201	task-s1	2	1
18	1786	12	19	19	1032	1031	1032	72.9683799999766	72.9683799999766	73	74	0.0316200000233948	round	sub-002	ses-201	task-s1	2	1
19	1787	12	20	21	783	782	783	80.48559899977408	80.48559899977408	80	81	-0.4855989997740835	round	sub-002	ses-201	task-s1	2	1
20	1788	12	21	22	646	645	646	84.5021049999632	84.5021049999632	85	86	0.4978950000368058	round	sub-002	ses-201	task-s1	2	1
21	1789	12	22	23	1069	1068	1069	88.11917799990624	88.11917799990624	88	89	-0.1191779999062419	round	sub-002	ses-201	task-s1	2	1
22	1790	12	23	24	730	729	730	91.75264199986124	91.75264199986124	92	93	0.2473580001387603	round	sub-002	ses-201	task-s1	2	1
23	1791	12	24	25	1063	1062	1063	95.41907099983656	95.41907099983656	95	96	-0.4190709998365634	round	sub-002	ses-201	task-s1	2	1
24	1792	12	25	26	11258	1757	1758	98.86953999986872	98.86953999986872	99	100	0.1304600001312792	round	sub-002	ses-201	task-s1	2	1
25	1793	12	26	27	784	783	784	102.70301399985328	102.70301399985328	103	104	0.2969860001467168	round	sub-002	ses-201	task-s1	2	1
26	1794	12	27	28	579	578	579	106.70313599985091	106.70313599985091	107	108	0.2968640001490854	round	sub-002	ses-201	task-s1	2	1
27	1795	12	28	29	1023	1022	1023	109.9365819999948	109.9365819999948	110	111	0.0634180000051998	round	sub-002	ses-201	task-s1	2	1
28	1796	12	29	31	11131	1630	1631	117.77000199980102	117.77000199980102	118	119	0.2299980001989752	round	sub-002	ses-201	task-s1	2	1
29	1797	12	30	32	902	901	902	121.20362399984153	121.20362399984153	121	122	-0.2036239998415254	round	sub-002	ses-201	task-s1	2	1
30	1798	12	31	33	551	550	551	124.80363399977796	124.80363399977796	125	126	0.1963660002220422	round	sub-002	ses-201	task-s1	2	1
31	1799	12	32	34	1110	1109	1110	128.62036399985664	128.62036399985664	129	130	0.379636000143364	round	sub-002	ses-201	task-s1	2	1
32	1800	12	33	35	802	801	802	131.83730799984187	131.83730799984187	132	133	0.1626920001581311	round	sub-002	ses-201	task-s1	2	1
33	1801	12	34	36	749	748	749	135.87057899986394	135.87057899986394	136	137	0.1294210001360625	round	sub-002	ses-201	task-s1	2	1
34	1802	12	35	38	311	310	311	143.53769999998622	143.53769999998622	144	145	0.4623000000137836	round	sub-002	ses-201	task-s1	2	1
35	1803	12	36	39	497	496	497	147.07115799980238	147.07115799980238	147	148	-0.0711579998023808	round	sub-002	ses-201	task-s1	2	1
36	1804	12	37	40	380	379	380	151.10462199989706	151.10462199989706	151	152	-0.1046219998970627	round	sub-002	ses-201	task-s1	2	1
37	1805	12	38	41	377	376	377	154.33781199995428	154.33781199995428	154	155	-0.3378119999542832	round	sub-002	ses-201	task-s1	2	1
38	1806	12	39	42	11183	1682	1683	158.4715299999807	158.4715299999807	158	159	-0.471529999980703	round	sub-002	ses-201	task-s1	2	1
39	1807	12	40	43	11229	1728	1729	161.87164799985476	161.87164799985476	162	163	0.1283520001452416	round	sub-002	ses-201	task-s1	2	1
40	1808	12	41	44	11	10	11	165.42176299984567	165.42176299984567	165	166	-0.4217629998456687	round	sub-002	ses-201	task-s1	2	1
41	1809	12	42	45	1017	1016	1017	168.72160799987614	168.72160799987614	169	170	0.2783920001238584	round	sub-002	ses-201	task-s1	2	1
42	1810	12	43	47	43	42	43	175.63876999984495	175.63876999984495	176	177	0.3612300001550466	round	sub-002	ses-201	task-s1	2	1
43	1811	12	44	48	584	583	584	179.8722439999692	179.8722439999692	180	181	0.1277560000307858	round	sub-002	ses-201	task-s1	2	1
44	1812	12	45	49	449	448	449	183.98904799995944	183.98904799995944	184	185	0.0109520000405609	round	sub-002	ses-201	task-s1	2	1
45	1813	12	46	50	11184	1683	1684	187.92251499998383	187.92251499998383	188	189	0.0774850000161677	round	sub-002	ses-201	task-s1	2	1
46	1814	12	47	51	569	568	569	191.93932099989613	191.93932099989613	192	193	0.0606790001038746	round	sub-002	ses-201	task-s1	2	1
47	1815	12	48	52	11243	1742	1743	195.55586299998689	195.55586299998689	196	197	0.4441370000131144	round	sub-002	ses-201	task-s1	2	1
48	1816	12	49	53	11230	1729	1730	198.87287899991497	198.87287899991497	199	200	0.127121000085026	round	sub-002	ses-201	task-s1	2	1
49	1817	12	50	55	190	189	190	205.8061559998896	205.8061559998896	206	207	0.1938440001104027	round	sub-002	ses-201	task-s1	2	1
50	1818	12	51	56	1093	1092	1093	209.7565769997891	209.7565769997891	210	211	0.2434230002108961	round	sub-002	ses-201	task-s1	2	1
51	1819	12	52	57	11254	1753	1754	213.05641199997623	213.05641199997623	213	214	-0.056411999976234	round	sub-002	ses-201	task-s1	2	1
52	1820	12	53	58	682	681	682	216.69014499988407	216.69014499988407	217	218	0.309855000115931	round	sub-002	ses-201	task-s1	2	1
53	1821	12	54	59	427	426	427	220.8903249998112	220.8903249998112	221	222	0.1096750001887869	round	sub-002	ses-201	task-s1	2	1
54	1822	12	55	60	296	295	296	224.50678399996832	224.50678399996832	225	226	0.4932160000316798	round	sub-002	ses-201	task-s1	2	1
55	1823	12	56	61	920	919	920	228.4236059999093	228.4236059999093	228	229	-0.4236059999093129	round	sub-002	ses-201	task-s1	2	1
56	1824	12	57	62	48	47	48	232.1573239997961	232.1573239997961	232	233	-0.1573239997960911	round	sub-002	ses-201	task-s1	2	1
57	1825	12	58	63	742	741	742	236.09078899980523	236.09078899980523	236	237	-0.0907889998052269	round	sub-002	ses-201	task-s1	2	1
58	1826	12	59	64	543	542	543	239.8740439999383	239.8740439999383	240	241	0.1259560000617057	round	sub-002	ses-201	task-s1	2	1
59	1827	12	60	65	255	254	255	243.3407059998717	243.3407059998717	243	244	-0.3407059998716875	round	sub-002	ses-201	task-s1	2	1
60	1828	12	61	66	629	628	629	247.1745360000059	247.1745360000059	247	248	-0.1745360000059008	round	sub-002	ses-201	task-s1	2	1
61	1829	12	62	67	11139	1638	1639	251.1913039998617	251.1913039998617	251	252	-0.1913039998617023	round	sub-002	ses-201	task-s1	2	1
62	1830	12	63	68	850	849	850	254.7247489998117	254.7247489998117	255	256	0.2752510001882911	round	sub-002	ses-201	task-s1	2	1
63	1831	12	64	69	11173	1672	1673	258.5248779999092	258.5248779999092	259	260	0.4751220000907779	round	sub-002	ses-201	task-s1	2	1
64	1832	12	65	70	677	676	677	262.45833299984224	262.45833299984224	262	263	-0.4583329998422414	round	sub-002	ses-201	task-s1	2	1
65	1833	12	66	72	129	128	129	269.35857899999246	269.35857899999246	269	270	-0.35857899999246	round	sub-002	ses-201	task-s1	2	1
66	1834	12	67	73	411	410	411	272.5583609999157	272.5583609999157	273	274	0.441639000084308	round	sub-002	ses-201	task-s1	2	1
67	1835	12	68	74	1033	1032	1033	276.6251349998638	276.6251349998638	277	278	0.3748650001361966	round	sub-002	ses-201	task-s1	2	1
68	1836	12	69	75	1092	1091	1092	280.1422629998997	280.1422629998997	280	281	-0.1422629998996853	round	sub-002	ses-201	task-s1	2	1
69	1837	12	70	76	835	834	835	284.15893099992536	284.15893099992536	284	285	-0.15893099992536	round	sub-002	ses-201	task-s1	2	1
70	1838	12	71	77	391	390	391	287.4588269998785	287.4588269998785	287	288	-0.4588269998785108	round	sub-002	ses-201	task-s1	2	1
71	1839	12	72	78	878	877	878	291.3090269998647	291.3090269998647	291	292	-0.3090269998647272	round	sub-002	ses-201	task-s1	2	1
72	1840	12	73	79	308	307	308	294.85941799986176	294.85941799986176	295	296	0.140582000138238	round	sub-002	ses-201	task-s1	2	1
73	1841	12	74	80	156	155	156	298.49287199997343	298.49287199997343	298	299	-0.4928719999734312	round	sub-002	ses-201	task-s1	2	1
74	1842	12	75	81	139	138	139	302.60966899991035	302.60966899991035	303	304	0.3903310000896454	round	sub-002	ses-201	task-s1	2	1
75	1843	12	76	82	748	747	748	306.0431329999119	306.0431329999119	306	307	-0.0431329999119043	round	sub-002	ses-201	task-s1	2	1
76	1844	12	77	83	266	265	266	309.6599129999522	309.6599129999522	310	311	0.340087000047788	round	sub-002	ses-201	task-s1	2	1
77	1845	12	78	84	325	324	325	313.69313699984923	313.69313699984923	314	315	0.3068630001507699	round	sub-002	ses-201	task-s1	2	1
78	1846	12	79	85	79	78	79	317.1098279999569	317.1098279999569	317	318	-0.1098279999569058	round	sub-002	ses-201	task-s1	2	1
79	1847	12	80	87	11228	1727	1728	325.01042799977586	325.01042799977586	325	326	-0.0104279997758567	round	sub-002	ses-201	task-s1	2	1
80	1848	12	81	88	11200	1699	1700	328.9268659998197	328.9268659998197	329	330	0.0731340001802891	round	sub-002	ses-201	task-s1	2	1
81	1849	12	82	89	1044	1043	1044	332.2606819998473	332.2606819998473	332	333	-0.2606819998472929	round	sub-002	ses-201	task-s1	2	1
82	1850	12	83	90	557	556	557	336.11063299980015	336.11063299980015	336	337	-0.1106329998001456	round	sub-002	ses-201	task-s1	2	1
83	1851	12	84	91	419	418	419	339.62758199987	339.62758199987	340	341	0.3724180001299828	round	sub-002	ses-201	task-s1	2	1
84	1852	12	85	92	1097	1096	1097	343.3610349998344	343.3610349998344	343	344	-0.3610349998343736	round	sub-002	ses-201	task-s1	2	1
85	1853	12	86	93	367	366	367	346.9111509998329	346.9111509998329	347	348	0.0888490001671016	round	sub-002	ses-201	task-s1	2	1
86	1854	12	87	95	150	149	150	354.7114199998323	354.7114199998323	355	356	0.2885800001677125	round	sub-002	ses-201	task-s1	2	1
87	1855	12	88	96	409	408	409	358.34488299977966	358.34488299977966	358	359	-0.3448829997796565	round	sub-002	ses-201	task-s1	2	1
