scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	467;2226;3947	467;2226;3947	3;14;25	150;141;94	sub-017_ses-101_task-s3;sub-017_ses-201_task-s3;sub-017_ses-301_task-s3	467	3	150	sub-017	ses-101	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	126;1803;3662	126;1803;3662	1;12;23	127;36;127	sub-017_ses-104_task-s1;sub-017_ses-201_task-s1;sub-017_ses-302_task-s1	126	1	127	sub-017	ses-104	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	220;2014;3835	220;2014;3835	2;13;24	62;88;141	sub-017_ses-101_task-s2;sub-017_ses-201_task-s2;sub-017_ses-305_task-s2	220	2	62	sub-017	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	507;2369;4146	507;2369;4146	4;15;26	31;125;134	sub-017_ses-102_task-s4;sub-017_ses-203_task-s4;sub-017_ses-302_task-s4	507	4	31	sub-017	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	919;2598;4336	919;2598;4336	6;17;28	126;37;7	sub-017_ses-103_task-s6;sub-017_ses-204_task-s6;sub-017_ses-302_task-s6	919	6	126	sub-017	ses-103	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	932;2628;4395	932;2628;4395	6;17;28	139;67;66	sub-017_ses-103_task-s6;sub-017_ses-204_task-s6;sub-017_ses-302_task-s6	932	6	139	sub-017	ses-103	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1103;2832;4613	1103;2832;4613	7;18;29	152;113;126	sub-017_ses-103_task-s7;sub-017_ses-202_task-s7;sub-017_ses-303_task-s7	1103	7	152	sub-017	ses-103	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1117;2921;4659	1117;2921;4659	8;19;30	8;44;14	sub-017_ses-103_task-s8;sub-017_ses-202_task-s8;sub-017_ses-303_task-s8	1117	8	8	sub-017	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	998;2791;4626	998;2791;4626	7;18;29	47;72;139	sub-017_ses-103_task-s7;sub-017_ses-202_task-s7;sub-017_ses-303_task-s7	998	7	47	sub-017	ses-103	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	957;2792;4506	957;2792;4506	7;18;29	6;73;19	sub-017_ses-103_task-s7;sub-017_ses-202_task-s7;sub-017_ses-303_task-s7	957	7	6	sub-017	ses-103	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	139;1821;3675	139;1821;3675	1;12;23	140;54;140	sub-017_ses-104_task-s1;sub-017_ses-201_task-s1;sub-017_ses-302_task-s1	139	1	140	sub-017	ses-104	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	18;1839;3554	18;1839;3554	1;12;23	19;72;19	sub-017_ses-104_task-s1;sub-017_ses-201_task-s1;sub-017_ses-302_task-s1	18	1	19	sub-017	ses-104	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	812;2671;4387	812;2671;4387	6;17;28	19;110;58	sub-017_ses-103_task-s6;sub-017_ses-204_task-s6;sub-017_ses-302_task-s6	812	6	19	sub-017	ses-103	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	401;2150;3931	401;2150;3931	3;14;25	84;65;78	sub-017_ses-101_task-s3;sub-017_ses-201_task-s3;sub-017_ses-301_task-s3	401	3	84	sub-017	ses-101	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1193;2980;4733	1193;2980;4733	8;19;30	84;103;88	sub-017_ses-103_task-s8;sub-017_ses-202_task-s8;sub-017_ses-303_task-s8	1193	8	84	sub-017	ses-103	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	765;2414;4279	765;2414;4279	5;16;27	130;11;108	sub-017_ses-102_task-s5;sub-017_ses-202_task-s5;sub-017_ses-302_task-s5	765	5	130	sub-017	ses-102	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	440;2118;3932	440;2118;3932	3;14;25	123;33;79	sub-017_ses-101_task-s3;sub-017_ses-201_task-s3;sub-017_ses-301_task-s3	440	3	123	sub-017	ses-101	task-s3	1;2;3	3;3;3
