scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	952	7	1	0	1120	1119	1120	0.1353249999810941	0.1353249999810941	0	1	-0.1353249999810941	round	sub-012	ses-102	task-s7	1	7
1	953	7	2	1	1060	1059	1060	3.9520489999849815	3.9520489999849815	4	5	0.0479510000150185	round	sub-012	ses-102	task-s7	1	7
2	954	7	3	2	55	54	55	7.368900000001304	7.368900000001304	7	8	-0.3689000000013038	round	sub-012	ses-102	task-s7	1	7
3	955	7	4	3	616	615	616	10.685369999991964	10.685369999991964	11	12	0.3146300000080355	round	sub-012	ses-102	task-s7	1	7
4	956	7	5	4	400	399	400	13.90245799999684	13.90245799999684	14	15	0.0975420000031608	round	sub-012	ses-102	task-s7	1	7
5	957	7	6	5	811	810	811	17.202561999991303	17.202561999991303	17	18	-0.2025619999913033	round	sub-012	ses-102	task-s7	1	7
6	958	7	7	6	291	290	291	20.536003999994136	20.536003999994136	21	22	0.4639960000058636	round	sub-012	ses-102	task-s7	1	7
7	959	7	8	7	290	289	290	23.752501999988453	23.752501999988453	24	25	0.2474980000115465	round	sub-012	ses-102	task-s7	1	7
8	960	7	9	8	1108	1107	1108	27.669582000002265	27.669582000002265	28	29	0.330417999997735	round	sub-012	ses-102	task-s7	1	7
9	961	7	10	9	164	163	164	31.36969999998109	31.36969999998109	31	32	-0.3696999999810906	round	sub-012	ses-102	task-s7	1	7
10	962	7	11	10	183	182	183	35.00317099998938	35.00317099998938	35	36	-0.0031709999893791	round	sub-012	ses-102	task-s7	1	7
11	963	7	12	11	404	403	404	38.83662600000389	38.83662600000389	39	40	0.1633739999961108	round	sub-012	ses-102	task-s7	1	7
12	964	7	13	12	27	26	27	42.25309700000798	42.25309700000798	42	43	-0.2530970000079833	round	sub-012	ses-102	task-s7	1	7
13	965	7	14	13	344	343	344	46.38687299998128	46.38687299998128	46	47	-0.3868729999812785	round	sub-012	ses-102	task-s7	1	7
14	966	7	15	14	11198	1697	1698	50.303453000000445	50.303453000000445	50	51	-0.3034530000004451	round	sub-012	ses-102	task-s7	1	7
15	967	7	16	15	171	170	171	53.72045699998853	53.72045699998853	54	55	0.279543000011472	round	sub-012	ses-102	task-s7	1	7
16	968	7	17	16	397	396	397	57.4536439999938	57.4536439999938	57	58	-0.4536439999938011	round	sub-012	ses-102	task-s7	1	7
17	969	7	18	17	9	8	9	60.87069199999678	60.87069199999678	61	62	0.1293080000032205	round	sub-012	ses-102	task-s7	1	7
18	970	7	19	19	712	711	712	68.50428100000136	68.50428100000136	69	70	0.495718999998644	round	sub-012	ses-102	task-s7	1	7
19	971	7	20	20	675	674	675	72.62108799998532	72.62108799998532	73	74	0.3789120000146795	round	sub-012	ses-102	task-s7	1	7
20	972	7	21	21	765	764	765	76.23788199998671	76.23788199998671	76	77	-0.2378819999867119	round	sub-012	ses-102	task-s7	1	7
21	973	7	22	22	766	765	766	79.48776699998416	79.48776699998416	79	80	-0.48776699998416	round	sub-012	ses-102	task-s7	1	7
22	974	7	23	23	834	833	834	82.9378260000085	82.9378260000085	83	84	0.0621739999915007	round	sub-012	ses-102	task-s7	1	7
23	975	7	24	24	428	427	428	86.65488899999764	86.65488899999764	87	88	0.3451110000023618	round	sub-012	ses-102	task-s7	1	7
24	976	7	25	25	386	385	386	90.68836400000146	90.68836400000146	91	92	0.3116359999985434	round	sub-012	ses-102	task-s7	1	7
25	977	7	26	26	778	777	778	93.90513999998802	93.90513999998802	94	95	0.0948600000119768	round	sub-012	ses-102	task-s7	1	7
26	978	7	27	28	523	522	523	102.1887529999949	102.1887529999949	102	103	-0.1887529999949038	round	sub-012	ses-102	task-s7	1	7
27	979	7	28	29	1042	1041	1042	106.10556900000664	106.10556900000664	106	107	-0.1055690000066391	round	sub-012	ses-102	task-s7	1	7
28	980	7	29	30	11174	1673	1674	110.10568000000784	110.10568000000784	110	111	-0.1056800000078368	round	sub-012	ses-102	task-s7	1	7
29	981	7	30	31	673	672	673	113.42212899998412	113.42212899998412	113	114	-0.4221289999841247	round	sub-012	ses-102	task-s7	1	7
30	982	7	31	32	526	525	526	116.93903599999612	116.93903599999612	117	118	0.060964000003878	round	sub-012	ses-102	task-s7	1	7
31	983	7	32	33	704	703	704	120.55603599999448	120.55603599999448	121	122	0.443964000005522	round	sub-012	ses-102	task-s7	1	7
32	984	7	33	35	32	31	32	127.33937099998002	127.33937099998002	127	128	-0.3393709999800194	round	sub-012	ses-102	task-s7	1	7
33	985	7	34	36	11224	1723	1724	131.27306499998667	131.27306499998667	131	132	-0.2730649999866728	round	sub-012	ses-102	task-s7	1	7
34	986	7	35	37	869	868	869	135.5065309999918	135.5065309999918	136	137	0.49346900000819	round	sub-012	ses-102	task-s7	1	7
35	987	7	36	38	214	213	214	139.6566729999904	139.6566729999904	140	141	0.3433270000095945	round	sub-012	ses-102	task-s7	1	7
36	988	7	37	39	1080	1079	1080	142.9731669999892	142.9731669999892	143	144	0.0268330000108107	round	sub-012	ses-102	task-s7	1	7
37	989	7	38	40	592	591	592	146.4901859999809	146.4901859999809	146	147	-0.4901859999808948	round	sub-012	ses-102	task-s7	1	7
38	990	7	39	41	547	546	547	150.50704399999813	150.50704399999813	151	152	0.4929560000018682	round	sub-012	ses-102	task-s7	1	7
39	991	7	40	42	231	230	231	154.24049999998533	154.24049999998533	154	155	-0.2404999999853316	round	sub-012	ses-102	task-s7	1	7
40	992	7	41	43	939	938	939	157.67395199998282	157.67395199998282	158	159	0.326048000017181	round	sub-012	ses-102	task-s7	1	7
41	993	7	42	44	313	312	313	161.1740700000082	161.1740700000082	161	162	-0.1740700000081858	round	sub-012	ses-102	task-s7	1	7
42	994	7	43	46	234	233	234	168.47431299998425	168.47431299998425	168	169	-0.4743129999842495	round	sub-012	ses-102	task-s7	1	7
43	995	7	44	47	320	319	320	172.49089399998775	172.49089399998775	172	173	-0.4908939999877475	round	sub-012	ses-102	task-s7	1	7
44	996	7	45	48	373	372	373	176.0245709999872	176.0245709999872	176	177	-0.0245709999871905	round	sub-012	ses-102	task-s7	1	7
45	997	7	46	49	731	730	731	179.45803700000397	179.45803700000397	179	180	-0.4580370000039693	round	sub-012	ses-102	task-s7	1	7
46	998	7	47	50	1018	1017	1018	183.47481499999407	183.47481499999407	183	184	-0.4748149999940665	round	sub-012	ses-102	task-s7	1	7
47	999	7	48	51	179	178	179	186.9913579999993	186.9913579999993	187	188	0.008642000000691	round	sub-012	ses-102	task-s7	1	7
48	1000	7	49	52	799	798	799	190.62505099998089	190.62505099998089	191	192	0.3749490000191144	round	sub-012	ses-102	task-s7	1	7
49	1001	7	50	53	11197	1696	1697	194.3248739999836	194.3248739999836	194	195	-0.3248739999835948	round	sub-012	ses-102	task-s7	1	7
50	1002	7	51	54	499	498	499	198.0419760000077	198.0419760000077	198	199	-0.0419760000077076	round	sub-012	ses-102	task-s7	1	7
51	1003	7	52	55	166	165	166	201.74208799999903	201.74208799999903	202	203	0.2579120000009709	round	sub-012	ses-102	task-s7	1	7
52	1004	7	53	56	11220	1719	1720	205.27553899999475	205.27553899999475	205	206	-0.275538999994751	round	sub-012	ses-102	task-s7	1	7
53	1005	7	54	58	109	108	109	213.42554299999028	213.42554299999028	213	214	-0.4255429999902844	round	sub-012	ses-102	task-s7	1	7
54	1006	7	55	59	696	695	696	216.92605700000425	216.92605700000425	217	218	0.0739429999957508	round	sub-012	ses-102	task-s7	1	7
55	1007	7	56	60	571	570	571	220.85941000000457	220.85941000000457	221	222	0.1405899999954272	round	sub-012	ses-102	task-s7	1	7
56	1008	7	57	61	11248	1747	1748	224.27595599999768	224.27595599999768	224	225	-0.2759559999976773	round	sub-012	ses-102	task-s7	1	7
57	1009	7	58	62	509	508	509	228.3929939999944	228.3929939999944	228	229	-0.3929939999943883	round	sub-012	ses-102	task-s7	1	7
