scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2562	17	1	0	757	756	757	0.1487569999881088	0.1487569999881088	0	1	-0.1487569999881088	round	sub-018	ses-202	task-s6	2	6
1	2563	17	2	1	58	57	58	3.698878000024706	3.698878000024706	4	5	0.3011219999752939	round	sub-018	ses-202	task-s6	2	6
2	2564	17	3	2	233	232	233	7.315658999839798	7.315658999839798	7	8	-0.3156589998397976	round	sub-018	ses-202	task-s6	2	6
3	2565	17	4	3	204	203	204	10.815773000009358	10.815773000009358	11	12	0.184226999990642	round	sub-018	ses-202	task-s6	2	6
4	2566	17	5	4	444	443	444	14.732255999930205	14.732255999930205	15	16	0.2677440000697952	round	sub-018	ses-202	task-s6	2	6
5	2567	17	6	5	5	4	5	18.6657389998436	18.6657389998436	19	20	0.334261000156399	round	sub-018	ses-202	task-s6	2	6
6	2568	17	7	6	785	784	785	22.68282899982296	22.68282899982296	23	24	0.3171710001770407	round	sub-018	ses-202	task-s6	2	6
7	2569	17	8	7	633	632	633	26.232653999933973	26.232653999933973	26	27	-0.2326539999339729	round	sub-018	ses-202	task-s6	2	6
8	2570	17	9	8	1040	1039	1040	29.649743999820203	29.649743999820203	30	31	0.3502560001797974	round	sub-018	ses-202	task-s6	2	6
9	2571	17	10	9	136	135	136	33.683209999930114	33.683209999930114	34	35	0.3167900000698864	round	sub-018	ses-202	task-s6	2	6
10	2572	17	11	11	447	446	447	41.35011399979703	41.35011399979703	41	42	-0.3501139997970313	round	sub-018	ses-202	task-s6	2	6
11	2573	17	12	12	853	852	853	44.96664200001396	44.96664200001396	45	46	0.0333579999860376	round	sub-018	ses-202	task-s6	2	6
12	2574	17	13	13	116	115	116	48.31704499991611	48.31704499991611	48	49	-0.3170449999161064	round	sub-018	ses-202	task-s6	2	6
13	2575	17	14	14	650	649	650	52.333816999802366	52.333816999802366	52	53	-0.3338169998023659	round	sub-018	ses-202	task-s6	2	6
14	2576	17	15	15	53	52	53	55.6672569999937	55.6672569999937	56	57	0.3327430000063032	round	sub-018	ses-202	task-s6	2	6
15	2577	17	16	16	270	269	270	59.184043999994174	59.184043999994174	59	60	-0.1840439999941736	round	sub-018	ses-202	task-s6	2	6
16	2578	17	17	17	554	553	554	62.60056399996392	62.60056399996392	63	64	0.3994360000360828	round	sub-018	ses-202	task-s6	2	6
17	2579	17	18	18	630	629	630	66.35094499983825	66.35094499983825	66	67	-0.3509449998382479	round	sub-018	ses-202	task-s6	2	6
18	2580	17	19	20	11255	1754	1755	73.73424699995667	73.73424699995667	74	75	0.2657530000433326	round	sub-018	ses-202	task-s6	2	6
19	2581	17	20	21	781	780	781	77.53432199987583	77.53432199987583	78	79	0.4656780001241714	round	sub-018	ses-202	task-s6	2	6
20	2582	17	21	22	11252	1751	1752	81.45145399984904	81.45145399984904	81	82	-0.4514539998490363	round	sub-018	ses-202	task-s6	2	6
21	2583	17	22	23	726	725	726	84.66821799986064	84.66821799986064	85	86	0.3317820001393556	round	sub-018	ses-202	task-s6	2	6
22	2584	17	23	24	685	684	685	88.80167899979278	88.80167899979278	89	90	0.1983210002072155	round	sub-018	ses-202	task-s6	2	6
23	2585	17	24	25	1026	1025	1026	92.7515559999738	92.7515559999738	93	94	0.2484440000261969	round	sub-018	ses-202	task-s6	2	6
24	2586	17	25	26	591	590	591	96.26860299985856	96.26860299985856	96	97	-0.2686029998585582	round	sub-018	ses-202	task-s6	2	6
25	2587	17	26	27	107	106	107	99.98509999993256	99.98509999993256	100	101	0.0149000000674419	round	sub-018	ses-202	task-s6	2	6
26	2588	17	27	28	964	963	964	103.90219999989496	103.90219999989496	104	105	0.0978000001050389	round	sub-018	ses-202	task-s6	2	6
27	2589	17	28	29	1083	1082	1083	107.15198599989526	107.15198599989526	107	108	-0.1519859998952597	round	sub-018	ses-202	task-s6	2	6
28	2590	17	29	30	423	422	423	110.66907999990508	110.66907999990508	111	112	0.3309200000949204	round	sub-018	ses-202	task-s6	2	6
29	2591	17	30	31	817	816	817	114.08586200000718	114.08586200000718	114	115	-0.0858620000071823	round	sub-018	ses-202	task-s6	2	6
30	2592	17	31	32	11158	1657	1658	118.00265999999829	118.00265999999829	118	119	-0.0026599999982863	round	sub-018	ses-202	task-s6	2	6
31	2593	17	32	33	1067	1066	1067	121.35276499995962	121.35276499995962	121	122	-0.3527649999596178	round	sub-018	ses-202	task-s6	2	6
32	2594	17	33	34	495	494	495	125.1695709999185	125.1695709999185	125	126	-0.1695709999185055	round	sub-018	ses-202	task-s6	2	6
33	2595	17	34	35	522	521	522	129.3197129999753	129.3197129999753	129	130	-0.3197129999753088	round	sub-018	ses-202	task-s6	2	6
34	2596	17	35	36	135	134	135	132.93648799997754	132.93648799997754	133	134	0.063512000022456	round	sub-018	ses-202	task-s6	2	6
35	2597	17	36	37	254	253	254	136.4529849998653	136.4529849998653	136	137	-0.4529849998652935	round	sub-018	ses-202	task-s6	2	6
36	2598	17	37	38	635	634	635	140.42007799982093	140.42007799982093	140	141	-0.4200779998209327	round	sub-018	ses-202	task-s6	2	6
37	2599	17	38	39	172	171	172	143.7699239999056	143.7699239999056	144	145	0.2300760000944137	round	sub-018	ses-202	task-s6	2	6
38	2600	17	39	41	11265	1764	1765	150.65373399993405	150.65373399993405	151	152	0.3462660000659525	round	sub-018	ses-202	task-s6	2	6
39	2601	17	40	42	484	483	484	154.17051799991168	154.17051799991168	154	155	-0.1705179999116808	round	sub-018	ses-202	task-s6	2	6
