scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2720	18	1	0	858	857	858	0.4708459999965271	0.4708459999965271	0	1	-0.4708459999965271	round	sub-018	ses-203	task-s7	2	7
1	2721	18	2	1	687	686	687	4.220997999997053	4.220997999997053	4	5	-0.2209979999970528	round	sub-018	ses-203	task-s7	2	7
2	2722	18	3	2	225	224	225	7.871118000002752	7.871118000002752	8	9	0.1288819999972483	round	sub-018	ses-203	task-s7	2	7
3	2723	18	4	3	274	273	274	11.75455299999885	11.75455299999885	12	13	0.2454470000011497	round	sub-018	ses-203	task-s7	2	7
4	2724	18	5	4	171	170	171	15.104671000000964	15.104671000000964	15	16	-0.1046710000009643	round	sub-018	ses-203	task-s7	2	7
5	2725	18	6	5	231	230	231	18.73811199999909	18.73811199999909	19	20	0.2618880000009085	round	sub-018	ses-203	task-s7	2	7
6	2726	18	7	6	11224	1723	1724	21.954878999997163	21.954878999997163	22	23	0.0451210000028368	round	sub-018	ses-203	task-s7	2	7
7	2727	18	8	8	644	643	644	29.20510600000125	29.20510600000125	29	30	-0.2051060000012512	round	sub-018	ses-203	task-s7	2	7
8	2728	18	9	9	640	639	640	33.18857399999979	33.18857399999979	33	34	-0.1885739999997895	round	sub-018	ses-203	task-s7	2	7
9	2729	18	10	10	11174	1673	1674	37.02202199999738	37.02202199999738	37	38	-0.0220219999973778	round	sub-018	ses-203	task-s7	2	7
10	2730	18	11	11	831	830	831	40.33878800000093	40.33878800000093	40	41	-0.3387880000009318	round	sub-018	ses-203	task-s7	2	7
11	2731	18	12	12	771	770	771	44.08864699999685	44.08864699999685	44	45	-0.0886469999968468	round	sub-018	ses-203	task-s7	2	7
12	2732	18	13	13	897	896	897	48.10548800000106	48.10548800000106	48	49	-0.1054880000010598	round	sub-018	ses-203	task-s7	2	7
13	2733	18	14	15	232	231	232	55.75596499999665	55.75596499999665	56	57	0.2440350000033504	round	sub-018	ses-203	task-s7	2	7
14	2734	18	15	16	33	32	33	59.45607800000289	59.45607800000289	59	60	-0.4560780000028899	round	sub-018	ses-203	task-s7	2	7
15	2735	18	16	17	845	844	845	63.37286999999924	63.37286999999924	63	64	-0.3728699999992386	round	sub-018	ses-203	task-s7	2	7
16	2736	18	17	18	397	396	397	66.589347000001	66.589347000001	67	68	0.4106529999990016	round	sub-018	ses-203	task-s7	2	7
17	2737	18	18	19	11188	1687	1688	70.10641000000032	70.10641000000032	70	71	-0.1064100000003236	round	sub-018	ses-203	task-s7	2	7
18	2738	18	19	20	10	9	10	74.02322499999718	74.02322499999718	74	75	-0.0232249999971827	round	sub-018	ses-203	task-s7	2	7
