scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2720	18	1	0	811	810	811	0.1762610000441782	0.1762610000441782	0	1	-0.1762610000441782	round	sub-017	ses-202	task-s7	2	7
1	2721	18	2	1	1108	1107	1108	4.100939000025392	4.100939000025392	4	5	-0.1009390000253915	round	sub-017	ses-202	task-s7	2	7
2	2722	18	3	2	428	427	428	7.434464000049047	7.434464000049047	7	8	-0.4344640000490471	round	sub-017	ses-202	task-s7	2	7
3	2723	18	4	3	578	577	578	11.167832000006456	11.167832000006456	11	12	-0.1678320000064559	round	sub-017	ses-202	task-s7	2	7
4	2724	18	5	4	970	969	970	15.034503000031693	15.034503000031693	15	16	-0.0345030000316928	round	sub-017	ses-202	task-s7	2	7
5	2725	18	6	5	1042	1041	1042	18.78845700004604	18.78845700004604	19	20	0.2115429999539593	round	sub-017	ses-202	task-s7	2	7
6	2726	18	7	6	293	292	293	22.218191000050865	22.218191000050865	22	23	-0.2181910000508651	round	sub-017	ses-202	task-s7	2	7
7	2727	18	8	7	649	648	649	25.874057000037283	25.874057000037283	26	27	0.1259429999627173	round	sub-017	ses-202	task-s7	2	7
8	2728	18	9	8	724	723	724	29.34169600001769	29.34169600001769	29	30	-0.3416960000176914	round	sub-017	ses-202	task-s7	2	7
9	2729	18	10	9	938	937	938	32.7685380000039	32.7685380000039	33	34	0.2314619999960996	round	sub-017	ses-202	task-s7	2	7
10	2730	18	11	10	1120	1119	1120	36.11872100003529	36.11872100003529	36	37	-0.1187210000352934	round	sub-017	ses-202	task-s7	2	7
11	2731	18	12	12	111	110	111	44.21028800000204	44.21028800000204	44	45	-0.2102880000020377	round	sub-017	ses-202	task-s7	2	7
12	2732	18	13	13	990	989	990	48.32270000001881	48.32270000001881	48	49	-0.3227000000188127	round	sub-017	ses-202	task-s7	2	7
13	2733	18	14	14	675	674	675	51.84447400004137	51.84447400004137	52	53	0.1555259999586269	round	sub-017	ses-202	task-s7	2	7
14	2734	18	15	15	948	947	948	55.25274100003298	55.25274100003298	55	56	-0.2527410000329766	round	sub-017	ses-202	task-s7	2	7
15	2735	18	16	16	782	781	782	59.28602900000988	59.28602900000988	59	60	-0.2860290000098828	round	sub-017	ses-202	task-s7	2	7
16	2736	18	17	17	397	396	397	63.46085299999686	63.46085299999686	63	64	-0.4608529999968596	round	sub-017	ses-202	task-s7	2	7
17	2737	18	18	18	178	177	178	67.36959100002423	67.36959100002423	67	68	-0.3695910000242293	round	sub-017	ses-202	task-s7	2	7
18	2738	18	19	19	399	398	399	71.60314500000095	71.60314500000095	72	73	0.39685499999905	round	sub-017	ses-202	task-s7	2	7
