scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	4488	29	1	0	374	373	374	0.2129789995960891	0.2129789995960891	0	1	-0.2129789995960891	round	sub-008	ses-303	task-s7	3	7
1	4489	29	2	1	800	799	800	4.330054999794811	4.330054999794811	4	5	-0.330054999794811	round	sub-008	ses-303	task-s7	3	7
2	4490	29	3	2	207	206	207	7.663584999740124	7.663584999740124	8	9	0.3364150002598762	round	sub-008	ses-303	task-s7	3	7
3	4491	29	4	3	556	555	556	11.413707999978216	11.413707999978216	11	12	-0.4137079999782163	round	sub-008	ses-303	task-s7	3	7
4	4492	29	5	4	496	495	496	15.347151999827474	15.347151999827474	15	16	-0.3471519998274743	round	sub-008	ses-303	task-s7	3	7
5	4493	29	6	5	534	533	534	18.58063399977982	18.58063399977982	19	20	0.4193660002201795	round	sub-008	ses-303	task-s7	3	7
6	4494	29	7	6	11241	1740	1741	21.897387999575585	21.897387999575585	22	23	0.1026120004244148	round	sub-008	ses-303	task-s7	3	7
7	4495	29	8	7	193	192	193	26.01385199977085	26.01385199977085	26	27	-0.0138519997708499	round	sub-008	ses-303	task-s7	3	7
8	4496	29	9	8	658	657	658	29.764310999773443	29.764310999773443	30	31	0.2356890002265572	round	sub-008	ses-303	task-s7	3	7
9	4497	29	10	9	89	88	89	33.914456999860704	33.914456999860704	34	35	0.085543000139296	round	sub-008	ses-303	task-s7	3	7
10	4498	29	11	11	509	508	509	41.748035999946296	41.748035999946296	42	43	0.2519640000537038	round	sub-008	ses-303	task-s7	3	7
11	4499	29	12	12	767	766	767	45.131485999561846	45.131485999561846	45	46	-0.1314859995618462	round	sub-008	ses-303	task-s7	3	7
12	4500	29	13	13	1060	1059	1060	48.46492299996317	48.46492299996317	48	49	-0.4649229999631714	round	sub-008	ses-303	task-s7	3	7
13	4501	29	14	14	10	9	10	51.89836999960244	51.89836999960244	52	53	0.1016300003975629	round	sub-008	ses-303	task-s7	3	7
14	4502	29	15	15	702	701	702	55.63183099962771	55.63183099962771	56	57	0.3681690003722906	round	sub-008	ses-303	task-s7	3	7
