scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	1602	11	1	0	1536	1140	1141	0.1477230000309646	0.1477230000309646	0	1	-0.1477230000309646	round	sub-013	ses-103	task-s11	1	11
1	1603	11	2	1	5071	1317	1318	4.0870030000805855	4.0870030000805855	4	5	-0.0870030000805854	round	sub-013	ses-103	task-s11	1	11
2	1604	11	3	2	11033	1615	1616	7.801059999968857	7.801059999968857	8	9	0.1989400000311434	round	sub-013	ses-103	task-s11	1	11
3	1605	11	4	3	7921	1460	1461	11.742122000083327	11.742122000083327	12	13	0.2578779999166727	round	sub-013	ses-103	task-s11	1	11
4	1606	11	5	4	9987	1562	1563	15.186652000062168	15.186652000062168	15	16	-0.1866520000621676	round	sub-013	ses-103	task-s11	1	11
5	1607	11	6	5	7984	1463	1464	19.29179399996065	19.29179399996065	19	20	-0.2917939999606496	round	sub-013	ses-103	task-s11	1	11
6	1608	11	7	6	6198	1373	1374	23.282535000005737	23.282535000005737	23	24	-0.2825350000057369	round	sub-013	ses-103	task-s11	1	11
7	1609	11	8	8	2872	1207	1208	31.357720999978483	31.357720999978483	31	32	-0.3577209999784827	round	sub-013	ses-103	task-s11	1	11
8	1610	11	9	9	3441	1236	1237	34.61914000008255	34.61914000008255	35	36	0.3808599999174475	round	sub-013	ses-103	task-s11	1	11
9	1611	11	10	10	6420	1385	1386	38.44292600010522	38.44292600010522	38	39	-0.4429260001052171	round	sub-013	ses-103	task-s11	1	11
10	1612	11	11	11	8826	1505	1506	42.49873499991372	42.49873499991372	42	43	-0.4987349999137223	round	sub-013	ses-103	task-s11	1	11
11	1613	11	12	12	7199	1423	1424	45.94226999999955	45.94226999999955	46	47	0.057730000000447	round	sub-013	ses-103	task-s11	1	11
12	1614	11	13	13	3485	1238	1239	49.976880999980494	49.976880999980494	50	51	0.0231190000195056	round	sub-013	ses-103	task-s11	1	11
13	1615	11	14	14	10474	1586	1587	53.60303999995813	53.60303999995813	54	55	0.3969600000418722	round	sub-013	ses-103	task-s11	1	11
14	1616	11	15	15	2388	1183	1184	57.309031000128016	57.309031000128016	57	58	-0.3090310001280159	round	sub-013	ses-103	task-s11	1	11
15	1617	11	16	16	2933	1210	1211	60.714154999936	60.714154999936	61	62	0.2858450000640005	round	sub-013	ses-103	task-s11	1	11
16	1618	11	17	17	7343	1430	1431	64.6543300000485	64.6543300000485	65	66	0.3456699999514967	round	sub-013	ses-103	task-s11	1	11
17	1619	11	18	19	4806	1304	1305	71.16056300001219	71.16056300001219	71	72	-0.1605630000121891	round	sub-013	ses-103	task-s11	1	11
18	1620	11	19	20	5895	1358	1359	74.66235599992797	74.66235599992797	75	76	0.3376440000720322	round	sub-013	ses-103	task-s11	1	11
19	1621	11	20	21	6865	1407	1408	78.48855199990794	78.48855199990794	78	79	-0.4885519999079406	round	sub-013	ses-103	task-s11	1	11
20	1622	11	21	22	8139	1470	1471	81.96828199992888	81.96828199992888	82	83	0.0317180000711232	round	sub-013	ses-103	task-s11	1	11
21	1623	11	22	23	7455	1437	1438	85.78799699991941	85.78799699991941	86	87	0.2120030000805854	round	sub-013	ses-103	task-s11	1	11
22	1624	11	23	24	3044	1216	1217	89.0533169999253	89.0533169999253	89	90	-0.0533169999253004	round	sub-013	ses-103	task-s11	1	11
23	1625	11	24	25	4746	1301	1302	92.26109499996528	92.26109499996528	92	93	-0.2610949999652803	round	sub-013	ses-103	task-s11	1	11
24	1626	11	25	26	1190	1122	1123	95.52131300000474	95.52131300000474	96	97	0.4786869999952614	round	sub-013	ses-103	task-s11	1	11
25	1627	11	26	27	6185	1372	1373	99.64715999993496	99.64715999993496	100	101	0.3528400000650435	round	sub-013	ses-103	task-s11	1	11
26	1628	11	27	28	10130	1570	1571	102.97910699993372	102.97910699993372	103	104	0.0208930000662803	round	sub-013	ses-103	task-s11	1	11
27	1629	11	28	29	10967	1612	1613	106.58657200005835	106.58657200005835	107	108	0.4134279999416463	round	sub-013	ses-103	task-s11	1	11
28	1630	11	29	30	3601	1244	1245	109.87892600009218	109.87892600009218	110	111	0.1210739999078214	round	sub-013	ses-103	task-s11	1	11
29	1631	11	30	31	7094	1418	1419	113.32310999999754	113.32310999999754	113	114	-0.3231099999975413	round	sub-013	ses-103	task-s11	1	11
30	1632	11	31	32	1304	1128	1129	116.81953099998644	116.81953099998644	117	118	0.1804690000135593	round	sub-013	ses-103	task-s11	1	11
31	1633	11	32	33	5436	1334	1335	120.45562199992128	120.45562199992128	120	121	-0.4556219999212771	round	sub-013	ses-103	task-s11	1	11
32	1634	11	33	34	8887	1508	1509	124.5195160000585	124.5195160000585	125	126	0.480483999941498	round	sub-013	ses-103	task-s11	1	11
33	1635	11	34	35	3499	1239	1240	128.02997800009325	128.02997800009325	128	129	-0.0299780000932514	round	sub-013	ses-103	task-s11	1	11
34	1636	11	35	36	5284	1328	1329	132.05211600009352	132.05211600009352	132	133	-0.0521160000935196	round	sub-013	ses-103	task-s11	1	11
35	1637	11	36	37	2711	1198	1199	135.37269699992612	135.37269699992612	135	136	-0.37269699992612	round	sub-013	ses-103	task-s11	1	11
36	1638	11	37	38	4446	1286	1287	139.09204300004058	139.09204300004058	139	140	-0.0920430000405758	round	sub-013	ses-103	task-s11	1	11
37	1639	11	38	39	7387	1432	1433	142.46900500007905	142.46900500007905	142	143	-0.4690050000790506	round	sub-013	ses-103	task-s11	1	11
38	1640	11	39	40	6460	1386	1387	146.2686270000413	146.2686270000413	146	147	-0.268627000041306	round	sub-013	ses-103	task-s11	1	11
39	1641	11	40	42	2239	1175	1176	153.54781899997033	153.54781899997033	154	155	0.4521810000296682	round	sub-013	ses-103	task-s11	1	11
40	1642	11	41	43	9647	1546	1547	157.49030099995434	157.49030099995434	157	158	-0.4903009999543428	round	sub-013	ses-103	task-s11	1	11
41	1643	11	42	44	5117	1319	1320	160.80510600004345	160.80510600004345	161	162	0.1948939999565482	round	sub-013	ses-103	task-s11	1	11
42	1644	11	43	45	11105	1619	1620	164.21475000004284	164.21475000004284	164	165	-0.2147500000428408	round	sub-013	ses-103	task-s11	1	11
43	1645	11	44	46	5269	1326	1327	167.4150320000481	167.4150320000481	167	168	-0.415032000048086	round	sub-013	ses-103	task-s11	1	11
44	1646	11	45	47	7095	1419	1420	171.17595000006258	171.17595000006258	171	172	-0.1759500000625848	round	sub-013	ses-103	task-s11	1	11
45	1647	11	46	48	1586	1143	1144	175.0392189999111	175.0392189999111	175	176	-0.0392189999110996	round	sub-013	ses-103	task-s11	1	11
46	1648	11	47	49	11045	1616	1617	178.50282900012098	178.50282900012098	179	180	0.4971709998790175	round	sub-013	ses-103	task-s11	1	11
47	1649	11	48	50	9483	1538	1539	182.615243999986	182.615243999986	183	184	0.3847560000139935	round	sub-013	ses-103	task-s11	1	11
48	1650	11	49	51	10175	1573	1574	186.41947799990885	186.41947799990885	186	187	-0.4194779999088496	round	sub-013	ses-103	task-s11	1	11
49	1651	11	50	53	9727	1550	1551	193.89311100007035	193.89311100007035	194	195	0.1068889999296516	round	sub-013	ses-103	task-s11	1	11
50	1652	11	51	54	6787	1403	1404	197.6851870000828	197.6851870000828	198	199	0.3148129999171942	round	sub-013	ses-103	task-s11	1	11
51	1653	11	52	55	4890	1309	1310	201.1233200000133	201.1233200000133	201	202	-0.1233200000133081	round	sub-013	ses-103	task-s11	1	11
52	1654	11	53	56	10249	1577	1578	204.44355399999768	204.44355399999768	204	205	-0.4435539999976754	round	sub-013	ses-103	task-s11	1	11
53	1655	11	54	57	4672	1297	1298	207.966897000093	207.966897000093	208	209	0.0331029999069869	round	sub-013	ses-103	task-s11	1	11
54	1656	11	55	58	5337	1331	1332	211.3838990000077	211.3838990000077	211	212	-0.3838990000076876	round	sub-013	ses-103	task-s11	1	11
55	1657	11	56	59	9336	1530	1531	214.9993229999673	214.9993229999673	215	216	0.0006770000327094	round	sub-013	ses-103	task-s11	1	11
56	1658	11	57	60	10021	1564	1565	218.2738370001316	218.2738370001316	218	219	-0.273837000131607	round	sub-013	ses-103	task-s11	1	11
57	1659	11	58	61	1937	1161	1162	222.18305899994448	222.18305899994448	222	223	-0.1830589999444782	round	sub-013	ses-103	task-s11	1	11
58	1660	11	59	63	7554	1441	1442	229.8322109999135	229.8322109999135	230	231	0.1677890000864863	round	sub-013	ses-103	task-s11	1	11
59	1661	11	60	64	8513	1489	1490	233.05821799999103	233.05821799999103	233	234	-0.0582179999910295	round	sub-013	ses-103	task-s11	1	11
60	1662	11	61	65	3886	1258	1259	236.37497300002724	236.37497300002724	236	237	-0.3749730000272393	round	sub-013	ses-103	task-s11	1	11
61	1663	11	62	66	10763	1603	1604	240.4059220000636	240.4059220000636	240	241	-0.4059220000636117	round	sub-013	ses-103	task-s11	1	11
62	1664	11	63	67	3991	1262	1263	243.84644400002435	243.84644400002435	244	245	0.1535559999756515	round	sub-013	ses-103	task-s11	1	11
63	1665	11	64	68	3221	1224	1225	247.96844700002111	247.96844700002111	248	249	0.031552999978885	round	sub-013	ses-103	task-s11	1	11
64	1666	11	65	69	7388	1433	1434	252.1842650000472	252.1842650000472	252	253	-0.1842650000471906	round	sub-013	ses-103	task-s11	1	11
65	1667	11	66	70	8102	1468	1469	255.51074900012463	255.51074900012463	256	257	0.4892509998753667	round	sub-013	ses-103	task-s11	1	11
66	1668	11	67	71	7024	1414	1415	259.5928670000285	259.5928670000285	260	261	0.407132999971509	round	sub-013	ses-103	task-s11	1	11
67	1669	11	68	72	7744	1451	1452	263.143962000031	263.143962000031	263	264	-0.1439620000310242	round	sub-013	ses-103	task-s11	1	11
68	1670	11	69	73	3082	1218	1219	267.0291820000857	267.0291820000857	267	268	-0.0291820000857114	round	sub-013	ses-103	task-s11	1	11
69	1671	11	70	74	7800	1453	1454	271.16163500002585	271.16163500002585	271	272	-0.1616350000258535	round	sub-013	ses-103	task-s11	1	11
70	1672	11	71	75	9803	1554	1555	274.38646199996583	274.38646199996583	274	275	-0.3864619999658316	round	sub-013	ses-103	task-s11	1	11
71	1673	11	72	76	10312	1579	1580	277.84359199996106	277.84359199996106	278	279	0.1564080000389367	round	sub-013	ses-103	task-s11	1	11
72	1674	11	73	77	10986	1613	1614	281.9513139999472	281.9513139999472	282	283	0.0486860000527826	round	sub-013	ses-103	task-s11	1	11
73	1675	11	74	79	1668	1147	1148	290.21018399996683	290.21018399996683	290	291	-0.21018399996683	round	sub-013	ses-103	task-s11	1	11
74	1676	11	75	80	6961	1412	1413	293.4447359999176	293.4447359999176	293	294	-0.4447359999176115	round	sub-013	ses-103	task-s11	1	11
