scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	475;2177;3919	475;2177;3919	3;14;25	158;92;66	sub-002_ses-103_task-s3;sub-002_ses-201_task-s3;sub-002_ses-301_task-s3	475	3	158	sub-002	ses-103	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	126;1883;3662	126;1883;3662	1;12;23	127;116;127	sub-002_ses-103_task-s1;sub-002_ses-201_task-s1;sub-002_ses-301_task-s1	126	1	127	sub-002	ses-103	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	294;1974;3705	294;1974;3705	2;13;24	136;48;11	sub-002_ses-103_task-s2;sub-002_ses-201_task-s2;sub-002_ses-301_task-s2	294	2	136	sub-002	ses-103	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	584;2337;4057	584;2337;4057	4;15;26	108;93;45	sub-002_ses-103_task-s4;sub-002_ses-201_task-s4;sub-002_ses-301_task-s4	584	4	108	sub-002	ses-103	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	867;2581;4396	867;2581;4396	6;17;28	74;20;67	sub-002_ses-105_task-s6;sub-002_ses-202_task-s6;sub-002_ses-302_task-s6	867	6	74	sub-002	ses-105	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	893;2714;4467	893;2714;4467	6;17;28	100;153;138	sub-002_ses-105_task-s6;sub-002_ses-202_task-s6;sub-002_ses-302_task-s6	893	6	100	sub-002	ses-105	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1085;2870;4601	1085;2870;4601	7;18;29	134;151;114	sub-002_ses-105_task-s7;sub-002_ses-202_task-s7;sub-002_ses-302_task-s7	1085	7	134	sub-002	ses-105	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1158;3009;4763	1158;3009;4763	8;19;30	49;132;118	sub-002_ses-105_task-s8;sub-002_ses-202_task-s8;sub-002_ses-303_task-s8	1158	8	49	sub-002	ses-105	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	1034;2767;4644	1034;2767;4644	7;18;29	83;48;157	sub-002_ses-105_task-s7;sub-002_ses-202_task-s7;sub-002_ses-302_task-s7	1034	7	83	sub-002	ses-105	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1042;2763;4619	1042;2763;4619	7;18;29	91;44;132	sub-002_ses-105_task-s7;sub-002_ses-202_task-s7;sub-002_ses-302_task-s7	1042	7	91	sub-002	ses-105	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	139;1808;3675	139;1808;3675	1;12;23	140;41;140	sub-002_ses-103_task-s1;sub-002_ses-201_task-s1;sub-002_ses-301_task-s1	139	1	140	sub-002	ses-103	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	18;1870;3554	18;1870;3554	1;12;23	19;103;19	sub-002_ses-103_task-s1;sub-002_ses-201_task-s1;sub-002_ses-301_task-s1	18	1	19	sub-002	ses-103	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	910;2662;4387	910;2662;4387	6;17;28	117;101;58	sub-002_ses-105_task-s6;sub-002_ses-202_task-s6;sub-002_ses-302_task-s6	910	6	117	sub-002	ses-105	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	469;2180;3865	469;2180;3865	3;14;25	152;95;12	sub-002_ses-103_task-s3;sub-002_ses-201_task-s3;sub-002_ses-301_task-s3	469	3	152	sub-002	ses-103	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1162;2916;4755	1162;2916;4755	8;19;30	53;39;110	sub-002_ses-105_task-s8;sub-002_ses-202_task-s8;sub-002_ses-303_task-s8	1162	8	53	sub-002	ses-105	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	762;2487;4207	762;2487;4207	5;16;27	127;84;36	sub-002_ses-105_task-s5;sub-002_ses-201_task-s5;sub-002_ses-301_task-s5	762	5	127	sub-002	ses-105	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	472;2095;3866	472;2095;3866	3;14;25	155;10;13	sub-002_ses-103_task-s3;sub-002_ses-201_task-s3;sub-002_ses-301_task-s3	472	3	155	sub-002	ses-103	task-s3	1;2;3	3;3;3
17	18	17	18	3	3	trialwise	1127;3016;4690	1127;3016;4690	8;19;30	18;139;45	sub-002_ses-105_task-s8;sub-002_ses-202_task-s8;sub-002_ses-303_task-s8	1127	8	18	sub-002	ses-105	task-s8	1;2;3	8;8;8
18	19	18	19	3	3	trialwise	848;2644;4348	848;2644;4348	6;17;28	55;83;19	sub-002_ses-105_task-s6;sub-002_ses-202_task-s6;sub-002_ses-302_task-s6	848	6	55	sub-002	ses-105	task-s6	1;2;3	6;6;6
19	20	19	20	3	3	trialwise	938;2664;4426	938;2664;4426	6;17;28	145;103;97	sub-002_ses-105_task-s6;sub-002_ses-202_task-s6;sub-002_ses-302_task-s6	938	6	145	sub-002	ses-105	task-s6	1;2;3	6;6;6
20	21	20	21	3	3	trialwise	409;2170;3958	409;2170;3958	3;14;25	92;85;105	sub-002_ses-103_task-s3;sub-002_ses-201_task-s3;sub-002_ses-301_task-s3	409	3	92	sub-002	ses-103	task-s3	1;2;3	3;3;3
