visual_col_0based	grayordinate_91k_0based	grayordinate_91k_1based	roi_id	roi_name
0	4	5	3	V3
1	7	8	6	VMV
2	28	29	2	V2
3	29	30	2	V2
4	30	31	2	V2
5	31	32	2	V2
6	32	33	2	V2
7	33	34	2	V2
8	34	35	2	V2
9	53	54	1	V1
10	54	55	1	V1
11	55	56	1	V1
12	56	57	1	V1
13	57	58	1	V1
14	58	59	1	V1
15	59	60	1	V1
16	60	61	1	V1
17	61	62	1	V1
18	62	63	1	V1
19	63	64	1	V1
20	64	65	2	V2
21	65	66	2	V2
22	66	67	2	V2
23	67	68	2	V2
24	68	69	2	V2
25	69	70	6	VMV
26	70	71	6	VMV
27	71	72	6	VMV
28	72	73	6	VMV
29	73	74	6	VMV
30	74	75	6	VMV
31	75	76	6	VMV
32	89	90	6	VMV
33	90	91	6	VMV
34	91	92	6	VMV
35	92	93	6	VMV
36	93	94	6	VMV
37	148	149	2	V2
38	152	153	2	V2
39	156	157	2	V2
40	161	162	2	V2
41	165	166	2	V2
42	169	170	2	V2
43	174	175	2	V2
44	361	362	1	V1
45	377	378	1	V1
46	395	396	1	V1
47	396	397	1	V1
48	413	414	1	V1
49	414	415	1	V1
50	431	432	1	V1
51	432	433	1	V1
52	448	449	1	V1
53	449	450	1	V1
54	464	465	1	V1
55	465	466	1	V1
56	479	480	1	V1
57	480	481	1	V1
58	493	494	1	V1
59	494	495	1	V1
60	495	496	2	V2
61	496	497	2	V2
62	506	507	2	V2
63	507	508	2	V2
64	508	509	2	V2
65	509	510	2	V2
66	510	511	2	V2
67	511	512	2	V2
68	512	513	2	V2
69	518	519	2	V2
70	519	520	2	V2
71	520	521	2	V2
72	521	522	2	V2
73	522	523	6	VMV
74	523	524	6	VMV
75	529	530	2	V2
76	530	531	2	V2
77	531	532	2	V2
78	532	533	6	VMV
79	533	534	6	VMV
80	534	535	6	VMV
81	539	540	2	V2
82	540	541	2	V2
83	541	542	6	VMV
84	542	543	6	VMV
85	543	544	6	VMV
86	544	545	6	VMV
87	548	549	2	V2
88	549	550	6	VMV
89	550	551	6	VMV
90	551	552	6	VMV
91	552	553	6	VMV
92	553	554	6	VMV
93	556	557	6	VMV
94	557	558	6	VMV
95	558	559	6	VMV
96	559	560	6	VMV
97	560	561	6	VMV
98	561	562	6	VMV
99	563	564	6	VMV
100	564	565	6	VMV
101	565	566	6	VMV
102	566	567	6	VMV
103	567	568	6	VMV
104	569	570	6	VMV
105	570	571	6	VMV
106	571	572	6	VMV
107	572	573	6	VMV
108	573	574	6	VMV
109	574	575	6	VMV
110	575	576	6	VMV
111	576	577	6	VMV
112	577	578	6	VMV
113	578	579	6	VMV
114	579	580	6	VMV
115	580	581	6	VMV
116	581	582	6	VMV
117	582	583	6	VMV
118	583	584	6	VMV
119	10082	10083	3	V3
120	10083	10084	3	V3
121	10084	10085	3	V3
122	10085	10086	3	V3
123	10086	10087	3	V3
124	10087	10088	3	V3
125	10088	10089	3	V3
126	10089	10090	3	V3
127	10128	10129	3	V3
128	10129	10130	3	V3
129	10130	10131	3	V3
130	10131	10132	3	V3
131	10132	10133	3	V3
132	10133	10134	3	V3
133	10134	10135	3	V3
134	10135	10136	3	V3
135	10136	10137	3	V3
136	10137	10138	3	V3
137	10138	10139	3	V3
138	10139	10140	3	V3
139	10140	10141	3	V3
140	10141	10142	3	V3
141	10142	10143	3	V3
142	10143	10144	3	V3
143	10144	10145	3	V3
144	10145	10146	3	V3
145	10146	10147	3	V3
146	10147	10148	3	V3
147	10148	10149	3	V3
148	10149	10150	3	V3
149	10150	10151	3	V3
150	10151	10152	3	V3
151	10152	10153	3	V3
152	10201	10202	3	V3
153	10202	10203	3	V3
154	10203	10204	3	V3
155	10204	10205	3	V3
156	10205	10206	3	V3
157	10206	10207	3	V3
158	10207	10208	3	V3
159	10255	10256	3	V3
160	10256	10257	3	V3
161	10257	10258	3	V3
162	10258	10259	3	V3
163	10259	10260	3	V3
164	10260	10261	3	V3
165	10261	10262	3	V3
166	10308	10309	3	V3
167	10309	10310	3	V3
168	10310	10311	3	V3
169	10311	10312	3	V3
170	10312	10313	3	V3
171	10313	10314	3	V3
172	10314	10315	3	V3
173	10360	10361	3	V3
174	10361	10362	3	V3
175	10362	10363	3	V3
176	10363	10364	3	V3
177	10364	10365	3	V3
178	10365	10366	3	V3
179	10366	10367	3	V3
180	10411	10412	3	V3
181	10412	10413	3	V3
182	10413	10414	3	V3
183	10414	10415	3	V3
184	10415	10416	3	V3
185	10416	10417	3	V3
186	10417	10418	3	V3
187	10461	10462	3	V3
188	10462	10463	3	V3
189	10463	10464	3	V3
190	10464	10465	3	V3
191	10465	10466	3	V3
192	10466	10467	3	V3
193	10467	10468	3	V3
194	10510	10511	3	V3
195	10511	10512	3	V3
196	10512	10513	3	V3
197	10513	10514	3	V3
198	10514	10515	3	V3
199	10515	10516	3	V3
200	10558	10559	3	V3
201	10559	10560	3	V3
202	10560	10561	3	V3
203	10561	10562	3	V3
204	10562	10563	3	V3
205	10563	10564	3	V3
206	10605	10606	3	V3
207	10606	10607	3	V3
208	10607	10608	3	V3
209	10608	10609	3	V3
210	10609	10610	3	V3
211	10610	10611	3	V3
212	10651	10652	3	V3
213	10652	10653	3	V3
214	10653	10654	3	V3
215	10654	10655	3	V3
216	10655	10656	3	V3
217	10696	10697	3	V3
218	10697	10698	3	V3
219	10698	10699	3	V3
220	10699	10700	3	V3
221	10700	10701	3	V3
222	10740	10741	3	V3
223	10741	10742	3	V3
224	10742	10743	3	V3
225	10743	10744	3	V3
226	10783	10784	3	V3
227	10784	10785	3	V3
228	10785	10786	3	V3
229	10825	10826	3	V3
230	10826	10827	3	V3
231	10866	10867	3	V3
232	11686	11687	3	V3
233	11687	11688	3	V3
234	11688	11689	3	V3
235	11689	11690	3	V3
236	11690	11691	4	V4
237	11691	11692	3	V3
238	11692	11693	3	V3
239	11693	11694	3	V3
240	11694	11695	3	V3
241	11695	11696	3	V3
242	11696	11697	3	V3
243	11697	11698	3	V3
244	11742	11743	3	V3
245	11743	11744	3	V3
246	11744	11745	3	V3
247	11745	11746	3	V3
248	11746	11747	3	V3
249	11747	11748	3	V3
250	11748	11749	3	V3
251	11749	11750	3	V3
252	11750	11751	3	V3
253	11751	11752	3	V3
254	11752	11753	3	V3
255	11753	11754	3	V3
256	11797	11798	3	V3
257	11798	11799	3	V3
258	11799	11800	3	V3
259	11800	11801	3	V3
260	11801	11802	3	V3
261	11802	11803	3	V3
262	11803	11804	3	V3
263	11804	11805	3	V3
264	11805	11806	3	V3
265	11806	11807	3	V3
266	11807	11808	3	V3
267	11851	11852	3	V3
268	11852	11853	3	V3
269	11853	11854	3	V3
270	11854	11855	3	V3
271	11855	11856	3	V3
