scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	4	4	trialwise	335;2207;3856;4069	335;2207;3856;4069	3;14;25;26	18;122;3;57	sub-004_ses-101_task-s3;sub-004_ses-201_task-s3;sub-004_ses-302_task-s3;sub-004_ses-302_task-s4	335	3	18	sub-004	ses-101	task-s3	1;2;3;3	3;3;3;4
1	2	1	2	3	3	trialwise	3;1894;3611	3;1894;3611	1;12;23	4;127;76	sub-004_ses-101_task-s1;sub-004_ses-201_task-s1;sub-004_ses-301_task-s1	3	1	4	sub-004	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	192;1955;3806	192;1955;3806	2;13;24	34;29;112	sub-004_ses-101_task-s2;sub-004_ses-201_task-s2;sub-004_ses-301_task-s2	192	2	34	sub-004	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	2	2	trialwise	538;2370	538;2370	4;15	62;126	sub-004_ses-102_task-s4;sub-004_ses-201_task-s4	538	4	62	sub-004	ses-102	task-s4	1;2	4;4
4	5	4	5	3	3	trialwise	799;2707;4330	799;2707;4330	6;17;28	6;146;1	sub-004_ses-102_task-s6;sub-004_ses-201_task-s6;sub-004_ses-302_task-s6	799	6	6	sub-004	ses-102	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	857;2657;4453	857;2657;4453	6;17;28	64;96;124	sub-004_ses-102_task-s6;sub-004_ses-201_task-s6;sub-004_ses-302_task-s6	857	6	64	sub-004	ses-102	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1007;2766;4512	1007;2766;4512	7;18;29	56;47;25	sub-004_ses-102_task-s7;sub-004_ses-202_task-s7;sub-004_ses-303_task-s7	1007	7	56	sub-004	ses-102	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1198;2986;4776	1198;2986;4776	8;19;30	89;109;131	sub-004_ses-103_task-s8;sub-004_ses-202_task-s8;sub-004_ses-303_task-s8	1198	8	89	sub-004	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	997;2844;4527	997;2844;4527	7;18;29	46;125;40	sub-004_ses-102_task-s7;sub-004_ses-202_task-s7;sub-004_ses-303_task-s7	997	7	46	sub-004	ses-102	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	975;2848;4497	975;2848;4497	7;18;29	24;129;10	sub-004_ses-102_task-s7;sub-004_ses-202_task-s7;sub-004_ses-303_task-s7	975	7	24	sub-004	ses-102	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	115;1907;3608	115;1907;3608	1;12;23	116;140;73	sub-004_ses-101_task-s1;sub-004_ses-201_task-s1;sub-004_ses-301_task-s1	115	1	116	sub-004	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	61;1786;3583	61;1786;3583	1;12;23	62;19;48	sub-004_ses-101_task-s1;sub-004_ses-201_task-s1;sub-004_ses-301_task-s1	61	1	62	sub-004	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	821;2691;4481	821;2691;4481	6;17;28	28;130;152	sub-004_ses-102_task-s6;sub-004_ses-201_task-s6;sub-004_ses-302_task-s6	821	6	28	sub-004	ses-102	task-s6	1;2;3	6;6;6
