scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	2878	19	1	0	368	367	368	0.1232150001451373	0.1232150001451373	0	1	-0.1232150001451373	round	sub-013	ses-202	task-s8	2	8
1	2879	19	2	1	322	321	322	3.948477999772877	3.948477999772877	4	5	0.051522000227123	round	sub-013	ses-202	task-s8	2	8
2	2880	19	3	2	11202	1701	1702	7.728829999919981	7.728829999919981	8	9	0.2711700000800192	round	sub-013	ses-202	task-s8	2	8
3	2881	19	4	3	363	362	363	11.02027599979192	11.02027599979192	11	12	-0.0202759997919201	round	sub-013	ses-202	task-s8	2	8
4	2882	19	5	4	836	835	836	14.640271000098435	14.640271000098435	15	16	0.3597289999015647	round	sub-013	ses-202	task-s8	2	8
5	2883	19	6	5	566	565	566	17.909179999958724	17.909179999958724	18	19	0.0908200000412762	round	sub-013	ses-202	task-s8	2	8
6	2884	19	7	6	653	652	653	21.95360999973491	21.95360999973491	22	23	0.0463900002650916	round	sub-013	ses-202	task-s8	2	8
7	2885	19	8	7	416	415	416	25.75813199998811	25.75813199998811	26	27	0.2418680000118911	round	sub-013	ses-202	task-s8	2	8
8	2886	19	9	8	15	14	15	29.03107099980116	29.03107099980116	29	30	-0.0310709998011589	round	sub-013	ses-202	task-s8	2	8
9	2887	19	10	9	328	327	328	32.89079499989748	32.89079499989748	33	34	0.1092050001025199	round	sub-013	ses-202	task-s8	2	8
10	2888	19	11	10	923	922	923	36.72097899997607	36.72097899997607	37	38	0.2790210000239312	round	sub-013	ses-202	task-s8	2	8
11	2889	19	12	12	54	53	54	44.35809599980712	44.35809599980712	44	45	-0.3580959998071193	round	sub-013	ses-202	task-s8	2	8
12	2890	19	13	13	11121	1620	1621	47.98297999985516	47.98297999985516	48	49	0.0170200001448392	round	sub-013	ses-202	task-s8	2	8
13	2891	19	14	14	814	813	814	51.55131299979985	51.55131299979985	52	53	0.4486870002001524	round	sub-013	ses-202	task-s8	2	8
14	2892	19	15	15	1020	1019	1020	54.81489299982786	54.81489299982786	55	56	0.1851070001721382	round	sub-013	ses-202	task-s8	2	8
15	2893	19	16	16	11262	1761	1762	57.98909399984405	57.98909399984405	58	59	0.0109060001559484	round	sub-013	ses-202	task-s8	2	8
16	2894	19	17	18	230	229	230	65.23663900000975	65.23663900000975	65	66	-0.2366390000097453	round	sub-013	ses-202	task-s8	2	8
17	2895	19	18	19	678	677	678	69.02533600013703	69.02533600013703	69	70	-0.025336000137031	round	sub-013	ses-202	task-s8	2	8
18	2896	19	19	20	11209	1708	1709	72.62217999994755	72.62217999994755	73	74	0.3778200000524521	round	sub-013	ses-202	task-s8	2	8
19	2897	19	20	21	773	772	773	75.88393499981612	75.88393499981612	76	77	0.1160650001838803	round	sub-013	ses-202	task-s8	2	8
20	2898	19	21	22	18	17	18	79.74987699976191	79.74987699976191	80	81	0.2501230002380907	round	sub-013	ses-202	task-s8	2	8
21	2899	19	22	23	904	903	904	83.30941399978474	83.30941399978474	83	84	-0.3094139997847378	round	sub-013	ses-202	task-s8	2	8
22	2900	19	23	24	90	89	90	87.20472100004554	87.20472100004554	87	88	-0.2047210000455379	round	sub-013	ses-202	task-s8	2	8
23	2901	19	24	26	533	532	533	93.8532849997282	93.8532849997282	94	95	0.1467150002717971	round	sub-013	ses-202	task-s8	2	8
24	2902	19	25	27	396	395	396	97.11801599990577	97.11801599990577	97	98	-0.118015999905765	round	sub-013	ses-202	task-s8	2	8
25	2903	19	26	28	466	465	466	100.28570899972692	100.28570899972692	100	101	-0.2857089997269213	round	sub-013	ses-202	task-s8	2	8
26	2904	19	27	29	690	689	690	103.96748000010848	103.96748000010848	104	105	0.0325199998915195	round	sub-013	ses-202	task-s8	2	8
27	2905	19	28	30	401	400	401	107.74010899988934	107.74010899988934	108	109	0.259891000110656	round	sub-013	ses-202	task-s8	2	8
28	2906	19	29	31	490	489	490	111.11651400011031	111.11651400011031	111	112	-0.1165140001103139	round	sub-013	ses-202	task-s8	2	8
29	2907	19	30	32	736	735	736	114.58504300005734	114.58504300005734	115	116	0.4149569999426603	round	sub-013	ses-202	task-s8	2	8
30	2908	19	31	33	979	978	979	118.04289599973708	118.04289599973708	118	119	-0.0428959997370839	round	sub-013	ses-202	task-s8	2	8
31	2909	19	32	34	830	829	830	121.37029299978168	121.37029299978168	121	122	-0.3702929997816824	round	sub-013	ses-202	task-s8	2	8
32	2910	19	33	35	273	272	273	124.73761399975048	124.73761399975048	125	126	0.2623860002495206	round	sub-013	ses-202	task-s8	2	8
33	2911	19	34	36	532	531	532	127.93567000003532	127.93567000003532	128	129	0.0643299999646842	round	sub-013	ses-202	task-s8	2	8
34	2912	19	35	37	914	913	914	131.2994099999778	131.2994099999778	131	132	-0.2994099999777972	round	sub-013	ses-202	task-s8	2	8
35	2913	19	36	39	780	779	780	138.15243500005454	138.15243500005454	138	139	-0.1524350000545382	round	sub-013	ses-202	task-s8	2	8
36	2914	19	37	40	454	453	454	141.67387000005692	141.67387000005692	142	143	0.3261299999430775	round	sub-013	ses-202	task-s8	2	8
37	2915	19	38	41	430	429	430	144.93516100011766	144.93516100011766	145	146	0.0648389998823404	round	sub-013	ses-202	task-s8	2	8
38	2916	19	39	42	574	573	574	148.89687199983746	148.89687199983746	149	150	0.1031280001625418	round	sub-013	ses-202	task-s8	2	8
39	2917	19	40	43	720	719	720	152.62312000012025	152.62312000012025	153	154	0.3768799998797476	round	sub-013	ses-202	task-s8	2	8
40	2918	19	41	44	637	636	637	155.78109999978915	155.78109999978915	156	157	0.2189000002108514	round	sub-013	ses-202	task-s8	2	8
41	2919	19	42	46	258	257	258	162.37464699987322	162.37464699987322	162	163	-0.3746469998732209	round	sub-013	ses-202	task-s8	2	8
42	2920	19	43	47	586	585	586	166.5731989997439	166.5731989997439	167	168	0.4268010002560913	round	sub-013	ses-202	task-s8	2	8
43	2921	19	44	48	11199	1698	1699	170.23871199972928	170.23871199972928	170	171	-0.2387119997292757	round	sub-013	ses-202	task-s8	2	8
44	2922	19	45	49	916	915	916	173.97466700011864	173.97466700011864	174	175	0.0253329998813569	round	sub-013	ses-202	task-s8	2	8
45	2923	19	46	50	285	284	285	177.15930899977684	177.15930899977684	177	178	-0.1593089997768402	round	sub-013	ses-202	task-s8	2	8
46	2924	19	47	51	11145	1644	1645	181.1175079997629	181.1175079997629	181	182	-0.1175079997628927	round	sub-013	ses-202	task-s8	2	8
47	2925	19	48	52	599	598	599	184.3017919999548	184.3017919999548	184	185	-0.3017919999547871	round	sub-013	ses-202	task-s8	2	8
48	2926	19	49	53	41	40	41	187.92425899999216	187.92425899999216	188	189	0.075741000007838	round	sub-013	ses-202	task-s8	2	8
49	2927	19	50	55	264	263	264	194.6356110000052	194.6356110000052	195	196	0.3643889999947873	round	sub-013	ses-202	task-s8	2	8
50	2928	19	51	56	494	493	494	198.0929479999468	198.0929479999468	198	199	-0.0929479999468014	round	sub-013	ses-202	task-s8	2	8
51	2929	19	52	57	827	826	827	202.12102099973708	202.12102099973708	202	203	-0.1210209997370839	round	sub-013	ses-202	task-s8	2	8
52	2930	19	53	58	326	325	326	206.25992299988863	206.25992299988863	206	207	-0.2599229998886301	round	sub-013	ses-202	task-s8	2	8
53	2931	19	54	59	492	491	492	209.9948410000652	209.9948410000652	210	211	0.0051589999347925	round	sub-013	ses-202	task-s8	2	8
54	2932	19	55	60	1064	1063	1064	213.6872149999253	213.6872149999253	214	215	0.3127850000747116	round	sub-013	ses-202	task-s8	2	8
55	2933	19	56	61	420	419	420	217.15202799998224	217.15202799998224	217	218	-0.1520279999822378	round	sub-013	ses-202	task-s8	2	8
56	2934	19	57	63	819	818	819	224.2350340001285	224.2350340001285	224	225	-0.2350340001285076	round	sub-013	ses-202	task-s8	2	8
57	2935	19	58	64	655	654	655	227.5301089999266	227.5301089999266	228	229	0.4698910000734031	round	sub-013	ses-202	task-s8	2	8
58	2936	19	59	65	1091	1090	1091	230.75505999987945	230.75505999987945	231	232	0.2449400001205504	round	sub-013	ses-202	task-s8	2	8
59	2937	19	60	66	410	409	410	234.6572090000845	234.6572090000845	235	236	0.3427909999155076	round	sub-013	ses-202	task-s8	2	8
60	2938	19	61	67	943	942	943	238.4832899998873	238.4832899998873	238	239	-0.4832899998872904	round	sub-013	ses-202	task-s8	2	8
61	2939	19	62	68	473	472	473	242.17640700004995	242.17640700004995	242	243	-0.1764070000499487	round	sub-013	ses-202	task-s8	2	8
62	2940	19	63	69	476	475	476	245.7728079999797	245.7728079999797	246	247	0.2271920000202953	round	sub-013	ses-202	task-s8	2	8
63	2941	19	64	70	11180	1679	1680	249.80611300002784	249.80611300002784	250	251	0.1938869999721646	round	sub-013	ses-202	task-s8	2	8
64	2942	19	65	72	729	728	729	257.7322299997322	257.7322299997322	258	259	0.2677700002677738	round	sub-013	ses-202	task-s8	2	8
65	2943	19	66	73	913	912	913	261.5573789998889	261.5573789998889	262	263	0.442621000111103	round	sub-013	ses-202	task-s8	2	8
66	2944	19	67	74	462	461	462	265.5232929997146	265.5232929997146	266	267	0.476707000285387	round	sub-013	ses-202	task-s8	2	8
67	2945	19	68	75	542	541	542	269.6626939997077	269.6626939997077	270	271	0.3373060002923012	round	sub-013	ses-202	task-s8	2	8
68	2946	19	69	76	894	893	894	273.697637999896	273.697637999896	274	275	0.302362000103983	round	sub-013	ses-202	task-s8	2	8
69	2947	19	70	77	960	959	960	276.8732650000602	276.8732650000602	277	278	0.1267349999397993	round	sub-013	ses-202	task-s8	2	8
70	2948	19	71	78	956	955	956	280.82884999969974	280.82884999969974	281	282	0.1711500003002584	round	sub-013	ses-202	task-s8	2	8
71	2949	19	72	80	11126	1625	1626	288.37272999994457	288.37272999994457	288	289	-0.3727299999445677	round	sub-013	ses-202	task-s8	2	8
72	2950	19	73	81	842	841	842	292.2466250001453	292.2466250001453	292	293	-0.2466250001452863	round	sub-013	ses-202	task-s8	2	8
73	2951	19	74	82	846	845	846	295.9737859996967	295.9737859996967	296	297	0.0262140003032982	round	sub-013	ses-202	task-s8	2	8
74	2952	19	75	83	83	82	83	299.7553189997561	299.7553189997561	300	301	0.2446810002438724	round	sub-013	ses-202	task-s8	2	8
75	2953	19	76	84	909	908	909	302.9926100000739	302.9926100000739	303	304	0.0073899999260902	round	sub-013	ses-202	task-s8	2	8
76	2954	19	77	85	1076	1075	1076	307.0572899999097	307.0572899999097	307	308	-0.0572899999096989	round	sub-013	ses-202	task-s8	2	8
77	2955	19	78	86	713	712	713	310.6167270001024	310.6167270001024	311	312	0.3832729998975992	round	sub-013	ses-202	task-s8	2	8
78	2956	19	79	87	47	46	47	314.74060799973086	314.74060799973086	315	316	0.2593920002691448	round	sub-013	ses-202	task-s8	2	8
79	2957	19	80	88	461	460	461	318.0992910000496	318.0992910000496	318	319	-0.0992910000496181	round	sub-013	ses-202	task-s8	2	8
80	2958	19	81	89	159	158	159	321.401031000074	321.401031000074	321	322	-0.4010310000739991	round	sub-013	ses-202	task-s8	2	8
81	2959	19	82	90	921	920	921	325.39548399997875	325.39548399997875	325	326	-0.3954839999787509	round	sub-013	ses-202	task-s8	2	8
82	2960	19	83	91	198	197	198	329.2907639998012	329.2907639998012	329	330	-0.2907639998011859	round	sub-013	ses-202	task-s8	2	8
83	2961	19	84	92	603	602	603	333.4134840001352	333.4134840001352	333	334	-0.4134840001352131	round	sub-013	ses-202	task-s8	2	8
