scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	3203	21	1	0	5391	1333	1334	0.1813490001950413	0.1813490001950413	0	1	-0.1813490001950413	round	sub-002	ses-203	task-s10	2	10
1	3204	21	2	1	2262	1177	1178	4.047830000054091	4.047830000054091	4	5	-0.0478300000540912	round	sub-002	ses-203	task-s10	2	10
2	3205	21	3	2	7818	1455	1456	8.068645999999717	8.068645999999717	8	9	-0.0686459999997168	round	sub-002	ses-203	task-s10	2	10
3	3206	21	4	3	8589	1492	1493	11.925956000108272	11.925956000108272	12	13	0.0740439998917281	round	sub-002	ses-203	task-s10	2	10
4	3207	21	5	4	4659	1296	1297	15.975215000100434	15.975215000100434	16	17	0.0247849998995661	round	sub-002	ses-203	task-s10	2	10
5	3208	21	6	5	1682	1148	1149	19.72582300007344	19.72582300007344	20	21	0.2741769999265599	round	sub-002	ses-203	task-s10	2	10
6	3209	21	7	6	10408	1584	1585	23.375625000102445	23.375625000102445	23	24	-0.3756250001024455	round	sub-002	ses-203	task-s10	2	10
7	3210	21	8	7	3219	1225	1226	26.92980600008741	26.92980600008741	27	28	0.0701939999125897	round	sub-002	ses-203	task-s10	2	10
8	3211	21	9	8	7489	1438	1439	30.109360000118613	30.109360000118613	30	31	-0.1093600001186132	round	sub-002	ses-203	task-s10	2	10
9	3212	21	10	9	9172	1522	1523	33.92809600010514	33.92809600010514	34	35	0.0719039998948574	round	sub-002	ses-203	task-s10	2	10
10	3213	21	11	10	8424	1485	1486	37.96872800006531	37.96872800006531	38	39	0.0312719999346882	round	sub-002	ses-203	task-s10	2	10
11	3214	21	12	11	4550	1291	1292	41.309704000130296	41.309704000130296	41	42	-0.3097040001302957	round	sub-002	ses-203	task-s10	2	10
12	3215	21	13	12	10038	1565	1566	45.04522700002417	45.04522700002417	45	46	-0.0452270000241696	round	sub-002	ses-203	task-s10	2	10
13	3216	21	14	13	5355	1331	1332	49.093258999986574	49.093258999986574	49	50	-0.093258999986574	round	sub-002	ses-203	task-s10	2	10
14	3217	21	15	14	7368	1432	1433	52.843619000166655	52.843619000166655	53	54	0.1563809998333454	round	sub-002	ses-203	task-s10	2	10
15	3218	21	16	15	6111	1369	1370	56.30181900016032	56.30181900016032	56	57	-0.3018190001603216	round	sub-002	ses-203	task-s10	2	10
16	3219	21	17	17	4809	1304	1305	63.95015699998476	63.95015699998476	64	65	0.0498430000152367	round	sub-002	ses-203	task-s10	2	10
17	3220	21	18	18	6545	1391	1392	67.46261000004597	67.46261000004597	67	68	-0.4626100000459701	round	sub-002	ses-203	task-s10	2	10
18	3221	21	19	19	8462	1486	1487	70.96219900017604	70.96219900017604	71	72	0.0378009998239576	round	sub-002	ses-203	task-s10	2	10
19	3222	21	20	20	6878	1407	1408	74.52634500013664	74.52634500013664	75	76	0.4736549998633563	round	sub-002	ses-203	task-s10	2	10
20	3223	21	21	21	6630	1395	1396	78.19455600017682	78.19455600017682	78	79	-0.1945560001768171	round	sub-002	ses-203	task-s10	2	10
21	3224	21	22	22	4751	1301	1302	82.0987750000786	82.0987750000786	82	83	-0.0987750000786036	round	sub-002	ses-203	task-s10	2	10
22	3225	21	23	23	2661	1196	1197	85.74425700004213	85.74425700004213	86	87	0.2557429999578744	round	sub-002	ses-203	task-s10	2	10
23	3226	21	24	25	3625	1245	1246	92.4489730000496	92.4489730000496	92	93	-0.4489730000496053	round	sub-002	ses-203	task-s10	2	10
24	3227	21	25	26	2380	1183	1184	96.54409600002693	96.54409600002693	97	98	0.4559039999730743	round	sub-002	ses-203	task-s10	2	10
25	3228	21	26	27	3589	1243	1244	99.76767299999484	99.76767299999484	100	101	0.2323270000051565	round	sub-002	ses-203	task-s10	2	10
26	3229	21	27	28	2248	1176	1177	102.96557300002314	102.96557300002314	103	104	0.0344269999768585	round	sub-002	ses-203	task-s10	2	10
27	3230	21	28	29	2554	1191	1192	106.92373799998312	106.92373799998312	107	108	0.0762620000168823	round	sub-002	ses-203	task-s10	2	10
28	3231	21	29	30	5414	1335	1336	110.81652600015514	110.81652600015514	111	112	0.183473999844864	round	sub-002	ses-203	task-s10	2	10
29	3232	21	30	31	1225	1124	1125	113.96177400019953	113.96177400019953	114	115	0.0382259998004741	round	sub-002	ses-203	task-s10	2	10
30	3233	21	31	32	8880	1507	1508	117.48668400011957	117.48668400011957	117	118	-0.4866840001195669	round	sub-002	ses-203	task-s10	2	10
31	3234	21	32	33	7801	1454	1455	121.22320700017735	121.22320700017735	121	122	-0.2232070001773536	round	sub-002	ses-203	task-s10	2	10
32	3235	21	33	34	6210	1375	1376	124.7458030001726	124.7458030001726	125	126	0.2541969998273998	round	sub-002	ses-203	task-s10	2	10
33	3236	21	34	35	6752	1400	1401	128.3021220001392	128.3021220001392	128	129	-0.3021220001392066	round	sub-002	ses-203	task-s10	2	10
34	3237	21	35	36	3032	1214	1215	131.7427480001934	131.7427480001934	132	133	0.2572519998066127	round	sub-002	ses-203	task-s10	2	10
35	3238	21	36	37	2924	1210	1211	135.69589800015092	135.69589800015092	136	137	0.304101999849081	round	sub-002	ses-203	task-s10	2	10
36	3239	21	37	38	3814	1254	1255	139.55346700013615	139.55346700013615	140	141	0.4465329998638481	round	sub-002	ses-203	task-s10	2	10
37	3240	21	38	39	8221	1475	1476	143.59644400002435	143.59644400002435	144	145	0.4035559999756515	round	sub-002	ses-203	task-s10	2	10
38	3241	21	39	40	2699	1198	1199	146.85324500012212	146.85324500012212	147	148	0.1467549998778849	round	sub-002	ses-203	task-s10	2	10
39	3242	21	40	41	4932	1310	1311	150.83734100009315	150.83734100009315	151	152	0.1626589999068528	round	sub-002	ses-203	task-s10	2	10
40	3243	21	41	42	2299	1179	1180	154.83840200002305	154.83840200002305	155	156	0.1615979999769479	round	sub-002	ses-203	task-s10	2	10
41	3244	21	42	43	3282	1228	1229	158.5324140000157	158.5324140000157	159	160	0.4675859999842942	round	sub-002	ses-203	task-s10	2	10
42	3245	21	43	44	3080	1217	1218	162.00391700002365	162.00391700002365	162	163	-0.0039170000236481	round	sub-002	ses-203	task-s10	2	10
43	3246	21	44	45	9504	1539	1540	165.89716699998826	165.89716699998826	166	167	0.1028330000117421	round	sub-002	ses-203	task-s10	2	10
44	3247	21	45	46	1283	1126	1127	169.94720600009896	169.94720600009896	170	171	0.0527939999010413	round	sub-002	ses-203	task-s10	2	10
45	3248	21	46	48	9436	1535	1536	176.92086299997754	176.92086299997754	177	178	0.079137000022456	round	sub-002	ses-203	task-s10	2	10
