scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	448;2187;3969	448;2187;3969	3;14;25	131;102;116	sub-001_ses-102_task-s3;sub-001_ses-201_task-s3;sub-001_ses-301_task-s3	448	3	131	sub-001	ses-102	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	74;1816;3639	74;1816;3639	1;12;23	75;49;104	sub-001_ses-102_task-s1;sub-001_ses-201_task-s1;sub-001_ses-301_task-s1	74	1	75	sub-001	ses-102	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	314;2069;3814	314;2069;3814	2;13;24	156;143;120	sub-001_ses-102_task-s2;sub-001_ses-201_task-s2;sub-001_ses-301_task-s2	314	2	156	sub-001	ses-102	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	605;2260;4056	605;2260;4056	4;15;26	129;16;44	sub-001_ses-102_task-s4;sub-001_ses-202_task-s4;sub-001_ses-301_task-s4	605	4	129	sub-001	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	830;2607;4385	830;2607;4385	6;17;28	37;46;56	sub-001_ses-102_task-s6;sub-001_ses-202_task-s6;sub-001_ses-301_task-s6	830	6	37	sub-001	ses-102	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	932;2614;4407	932;2614;4407	6;17;28	139;53;78	sub-001_ses-102_task-s6;sub-001_ses-202_task-s6;sub-001_ses-301_task-s6	932	6	139	sub-001	ses-102	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1065;2868;4517	1065;2868;4517	7;18;29	114;149;30	sub-001_ses-103_task-s7;sub-001_ses-202_task-s7;sub-001_ses-302_task-s7	1065	7	114	sub-001	ses-103	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1124;2909;4783	1124;2909;4783	8;19;30	15;32;138	sub-001_ses-103_task-s8;sub-001_ses-202_task-s8;sub-001_ses-303_task-s8	1124	8	15	sub-001	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	1104;2778;4593	1104;2778;4593	7;18;29	153;59;106	sub-001_ses-103_task-s7;sub-001_ses-202_task-s7;sub-001_ses-302_task-s7	1104	7	153	sub-001	ses-103	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1027;2770;4530	1027;2770;4530	7;18;29	76;51;43	sub-001_ses-103_task-s7;sub-001_ses-202_task-s7;sub-001_ses-302_task-s7	1027	7	76	sub-001	ses-103	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	88;1900;3692	88;1900;3692	1;12;23	89;133;157	sub-001_ses-102_task-s1;sub-001_ses-201_task-s1;sub-001_ses-301_task-s1	88	1	89	sub-001	ses-102	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	67;1923;3595	67;1923;3595	1;12;23	68;156;60	sub-001_ses-102_task-s1;sub-001_ses-201_task-s1;sub-001_ses-301_task-s1	67	1	68	sub-001	ses-102	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	800;2569;4406	800;2569;4406	6;17;28	7;8;77	sub-001_ses-102_task-s6;sub-001_ses-202_task-s6;sub-001_ses-301_task-s6	800	6	7	sub-001	ses-102	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	362;2129;3900	362;2129;3900	3;14;25	45;44;47	sub-001_ses-102_task-s3;sub-001_ses-201_task-s3;sub-001_ses-301_task-s3	362	3	45	sub-001	ses-102	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1235;3015;4675	1235;3015;4675	8;19;30	126;138;30	sub-001_ses-103_task-s8;sub-001_ses-202_task-s8;sub-001_ses-303_task-s8	1235	8	126	sub-001	ses-103	task-s8	1;2;3	8;8;8
