scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	412;2235;3987	412;2235;3987	3;14;25	95;150;134	sub-006_ses-101_task-s3;sub-006_ses-201_task-s3;sub-006_ses-302_task-s3	412	3	95	sub-006	ses-101	task-s3	1;2;3	3;3;3
1	2	1	2	4	4	trialwise	11;111;1922;3667	11;111;1922;3667	1;1;12;23	12;112;155;132	sub-006_ses-101_task-s1;sub-006_ses-101_task-s1;sub-006_ses-201_task-s1;sub-006_ses-301_task-s1	11	1	12	sub-006	ses-101	task-s1	1;1;2;3	1;1;1;1
2	3	2	3	3	3	trialwise	246;1951;3752	246;1951;3752	2;13;24	88;25;58	sub-006_ses-101_task-s2;sub-006_ses-201_task-s2;sub-006_ses-302_task-s2	246	2	88	sub-006	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	627;2380;4122	627;2380;4122	4;15;26	151;136;110	sub-006_ses-102_task-s4;sub-006_ses-201_task-s4;sub-006_ses-302_task-s4	627	4	151	sub-006	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	897;2648;4463	897;2648;4463	6;17;28	104;87;134	sub-006_ses-103_task-s6;sub-006_ses-202_task-s6;sub-006_ses-303_task-s6	897	6	104	sub-006	ses-103	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	895;2604;4459	895;2604;4459	6;17;28	102;43;130	sub-006_ses-103_task-s6;sub-006_ses-202_task-s6;sub-006_ses-303_task-s6	895	6	102	sub-006	ses-103	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	997;2801;4513	997;2801;4513	7;18;29	46;82;26	sub-006_ses-103_task-s7;sub-006_ses-202_task-s7;sub-006_ses-303_task-s7	997	7	46	sub-006	ses-103	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1145;2988;4783	1145;2988;4783	8;19;30	36;111;138	sub-006_ses-103_task-s8;sub-006_ses-202_task-s8;sub-006_ses-304_task-s8	1145	8	36	sub-006	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	1044;2829;4502	1044;2829;4502	7;18;29	93;110;15	sub-006_ses-103_task-s7;sub-006_ses-202_task-s7;sub-006_ses-303_task-s7	1044	7	93	sub-006	ses-103	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1056;2841;4602	1056;2841;4602	7;18;29	105;122;115	sub-006_ses-103_task-s7;sub-006_ses-202_task-s7;sub-006_ses-303_task-s7	1056	7	105	sub-006	ses-103	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	123;1823;3607	123;1823;3607	1;12;23	124;56;72	sub-006_ses-101_task-s1;sub-006_ses-201_task-s1;sub-006_ses-301_task-s1	123	1	124	sub-006	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	142;1846;3538	142;1846;3538	1;12;23	143;79;3	sub-006_ses-101_task-s1;sub-006_ses-201_task-s1;sub-006_ses-301_task-s1	142	1	143	sub-006	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	808;2653;4431	808;2653;4431	6;17;28	15;92;102	sub-006_ses-103_task-s6;sub-006_ses-202_task-s6;sub-006_ses-303_task-s6	808	6	15	sub-006	ses-103	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	343;2176;3901	343;2176;3901	3;14;25	26;91;48	sub-006_ses-101_task-s3;sub-006_ses-201_task-s3;sub-006_ses-302_task-s3	343	3	26	sub-006	ses-101	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1158;3029;4718	1158;3029;4718	8;19;30	49;152;73	sub-006_ses-103_task-s8;sub-006_ses-202_task-s8;sub-006_ses-304_task-s8	1158	8	49	sub-006	ses-103	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	773;2510;4240	773;2510;4240	5;16;27	138;107;69	sub-006_ses-102_task-s5;sub-006_ses-202_task-s5;sub-006_ses-303_task-s5	773	5	138	sub-006	ses-102	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	437;2183;3886	437;2183;3886	3;14;25	120;98;33	sub-006_ses-101_task-s3;sub-006_ses-201_task-s3;sub-006_ses-302_task-s3	437	3	120	sub-006	ses-101	task-s3	1;2;3	3;3;3
17	18	17	18	3	3	trialwise	1215;2907;4791	1215;2907;4791	8;19;30	106;30;146	sub-006_ses-103_task-s8;sub-006_ses-202_task-s8;sub-006_ses-304_task-s8	1215	8	106	sub-006	ses-103	task-s8	1;2;3	8;8;8
18	19	18	19	3	3	trialwise	882;2564;4392	882;2564;4392	6;17;28	89;3;63	sub-006_ses-103_task-s6;sub-006_ses-202_task-s6;sub-006_ses-303_task-s6	882	6	89	sub-006	ses-103	task-s6	1;2;3	6;6;6
19	20	19	20	3	3	trialwise	894;2589;4368	894;2589;4368	6;17;28	101;28;39	sub-006_ses-103_task-s6;sub-006_ses-202_task-s6;sub-006_ses-303_task-s6	894	6	101	sub-006	ses-103	task-s6	1;2;3	6;6;6
20	21	20	21	3	3	trialwise	390;2091;3926	390;2091;3926	3;14;25	73;6;73	sub-006_ses-101_task-s3;sub-006_ses-201_task-s3;sub-006_ses-302_task-s3	390	3	73	sub-006	ses-101	task-s3	1;2;3	3;3;3
21	22	21	22	3	3	trialwise	729;2514;4238	729;2514;4238	5;16;27	94;111;67	sub-006_ses-102_task-s5;sub-006_ses-202_task-s5;sub-006_ses-303_task-s5	729	5	94	sub-006	ses-102	task-s5	1;2;3	5;5;5
22	23	22	23	3	3	trialwise	751;2492;4220	751;2492;4220	5;16;27	116;89;49	sub-006_ses-102_task-s5;sub-006_ses-202_task-s5;sub-006_ses-303_task-s5	751	5	116	sub-006	ses-102	task-s5	1;2;3	5;5;5
23	24	23	24	3	3	trialwise	222;2024;3749	222;2024;3749	2;13;24	64;98;55	sub-006_ses-101_task-s2;sub-006_ses-201_task-s2;sub-006_ses-302_task-s2	222	2	64	sub-006	ses-101	task-s2	1;2;3	2;2;2
24	25	24	25	3	3	trialwise	17;1871;3641	17;1871;3641	1;12;23	18;104;106	sub-006_ses-101_task-s1;sub-006_ses-201_task-s1;sub-006_ses-301_task-s1	17	1	18	sub-006	ses-101	task-s1	1;2;3	1;1;1
25	26	25	26	3	3	trialwise	305;2018;3834	305;2018;3834	2;13;24	147;92;140	sub-006_ses-101_task-s2;sub-006_ses-201_task-s2;sub-006_ses-302_task-s2	305	2	147	sub-006	ses-101	task-s2	1;2;3	2;2;2
26	27	26	27	3	3	trialwise	1029;2739;4543	1029;2739;4543	7;18;29	78;20;56	sub-006_ses-103_task-s7;sub-006_ses-202_task-s7;sub-006_ses-303_task-s7	1029	7	78	sub-006	ses-103	task-s7	1;2;3	7;7;7
27	28	27	28	3	3	trialwise	344;2128;3942	344;2128;3942	3;14;25	27;43;89	sub-006_ses-101_task-s3;sub-006_ses-201_task-s3;sub-006_ses-302_task-s3	344	3	27	sub-006	ses-101	task-s3	1;2;3	3;3;3
28	29	28	29	3	3	trialwise	510;2250;4016	510;2250;4016	4;15;26	34;6;4	sub-006_ses-102_task-s4;sub-006_ses-201_task-s4;sub-006_ses-302_task-s4	510	4	34	sub-006	ses-102	task-s4	1;2;3	4;4;4
29	30	29	30	3	3	trialwise	762;2459;4236	762;2459;4236	5;16;27	127;56;65	sub-006_ses-102_task-s5;sub-006_ses-202_task-s5;sub-006_ses-303_task-s5	762	5	127	sub-006	ses-102	task-s5	1;2;3	5;5;5
