scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	340;2168;3908	340;2168;3908	3;14;25	23;83;55	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	340	3	23	sub-003	ses-101	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	124;1894;3662	124;1894;3662	1;12;23	125;127;127	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	124	1	125	sub-003	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	295;2012;3817	295;2012;3817	2;13;24	137;86;123	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	295	2	137	sub-003	ses-104	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	584;2325;4119	584;2325;4119	4;15;26	108;81;107	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	584	4	108	sub-003	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	888;2600;4347	888;2600;4347	6;17;28	95;39;18	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	888	6	95	sub-003	ses-102	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	849;2665;4423	849;2665;4423	6;17;28	56;104;94	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	849	6	56	sub-003	ses-102	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1026;2823;4582	1026;2823;4582	7;18;29	75;104;95	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1026	7	75	sub-003	ses-102	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1148;3007;4647	1148;3007;4647	8;19;30	39;130;2	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1148	8	39	sub-003	ses-102	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	958;2783;4620	958;2783;4620	7;18;29	7;64;133	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	958	7	7	sub-003	ses-102	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1079;2861;4539	1079;2861;4539	7;18;29	128;142;52	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1079	7	128	sub-003	ses-102	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	41;1907;3675	41;1907;3675	1;12;23	42;140;140	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	41	1	42	sub-003	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	96;1786;3554	96;1786;3554	1;12;23	97;19;19	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	96	1	97	sub-003	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	919;2610;4481	919;2610;4481	6;17;28	126;49;152	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	919	6	126	sub-003	ses-102	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	443;2198;3955	443;2198;3955	3;14;25	126;113;102	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	443	3	126	sub-003	ses-101	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1136;2970;4712	1136;2970;4712	8;19;30	27;93;67	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1136	8	27	sub-003	ses-102	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	784;2420;4262	784;2420;4262	5;16;27	149;17;91	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	784	5	149	sub-003	ses-102	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	360;2210;3967	360;2210;3967	3;14;25	43;125;114	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	360	3	43	sub-003	ses-101	task-s3	1;2;3	3;3;3
17	18	17	18	3	3	trialwise	1169;2910;4685	1169;2910;4685	8;19;30	60;33;40	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1169	8	60	sub-003	ses-102	task-s8	1;2;3	8;8;8
18	19	18	19	3	3	trialwise	911;2714;4419	911;2714;4419	6;17;28	118;153;90	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	911	6	118	sub-003	ses-102	task-s6	1;2;3	6;6;6
19	20	19	20	3	3	trialwise	823;2592;4378	823;2592;4378	6;17;28	30;31;49	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	823	6	30	sub-003	ses-102	task-s6	1;2;3	6;6;6
20	21	20	21	3	3	trialwise	395;2152;3939	395;2152;3939	3;14;25	78;67;86	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	395	3	78	sub-003	ses-101	task-s3	1;2;3	3;3;3
21	22	21	22	3	3	trialwise	753;2469;4195	753;2469;4195	5;16;27	118;66;24	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	753	5	118	sub-003	ses-102	task-s5	1;2;3	5;5;5
22	23	22	23	3	3	trialwise	726;2495;4325	726;2495;4325	5;16;27	91;92;154	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	726	5	91	sub-003	ses-102	task-s5	1;2;3	5;5;5
23	24	23	24	3	3	trialwise	203;1973;3819	203;1973;3819	2;13;24	45;47;125	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	203	2	45	sub-003	ses-104	task-s2	1;2;3	2;2;2
24	25	24	25	3	3	trialwise	69;1910;3678	69;1910;3678	1;12;23	70;143;143	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	69	1	70	sub-003	ses-101	task-s1	1;2;3	1;1;1
25	26	25	26	3	3	trialwise	182;2008;3823	182;2008;3823	2;13;24	24;82;129	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	182	2	24	sub-003	ses-104	task-s2	1;2;3	2;2;2
26	27	26	27	3	3	trialwise	1060;2765;4493	1060;2765;4493	7;18;29	109;46;6	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1060	7	109	sub-003	ses-102	task-s7	1;2;3	7;7;7
27	28	27	28	3	3	trialwise	319;2231;3972	319;2231;3972	3;14;25	2;146;119	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	319	3	2	sub-003	ses-101	task-s3	1;2;3	3;3;3
28	29	28	29	3	3	trialwise	545;2329;4152	545;2329;4152	4;15;26	69;85;140	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	545	4	69	sub-003	ses-102	task-s4	1;2;3	4;4;4
29	30	29	30	3	3	trialwise	721;2513;4215	721;2513;4215	5;16;27	86;110;44	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	721	5	86	sub-003	ses-102	task-s5	1;2;3	5;5;5
30	31	30	31	3	3	trialwise	273;1999;3799	273;1999;3799	2;13;24	115;73;105	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	273	2	115	sub-003	ses-104	task-s2	1;2;3	2;2;2
31	32	31	32	3	3	trialwise	1030;2825;4574	1030;2825;4574	7;18;29	79;106;87	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1030	7	79	sub-003	ses-102	task-s7	1;2;3	7;7;7
32	33	32	33	3	3	trialwise	1033;2810;4532	1033;2810;4532	7;18;29	82;91;45	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1033	7	82	sub-003	ses-102	task-s7	1;2;3	7;7;7
33	34	33	34	3	3	trialwise	1024;2763;4627	1024;2763;4627	7;18;29	73;44;140	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1024	7	73	sub-003	ses-102	task-s7	1;2;3	7;7;7
34	35	34	35	3	3	trialwise	694;2451;4323	694;2451;4323	5;16;27	59;48;152	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	694	5	59	sub-003	ses-102	task-s5	1;2;3	5;5;5
35	36	35	36	3	3	trialwise	577;2343;4022	577;2343;4022	4;15;26	101;99;10	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	577	4	101	sub-003	ses-102	task-s4	1;2;3	4;4;4
36	37	36	37	3	3	trialwise	184;1956;3810	184;1956;3810	2;13;24	26;30;116	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	184	2	26	sub-003	ses-104	task-s2	1;2;3	2;2;2
37	38	37	38	3	3	trialwise	1181;2962;4753	1181;2962;4753	8;19;30	72;85;108	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1181	8	72	sub-003	ses-102	task-s8	1;2;3	8;8;8
38	39	38	39	3	3	trialwise	899;2711;4373	899;2711;4373	6;17;28	106;150;44	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	899	6	106	sub-003	ses-102	task-s6	1;2;3	6;6;6
39	40	39	40	3	3	trialwise	1254;2904;4783	1254;2904;4783	8;19;30	145;27;138	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1254	8	145	sub-003	ses-102	task-s8	1;2;3	8;8;8
40	41	40	41	3	3	trialwise	1187;2949;4780	1187;2949;4780	8;19;30	78;72;135	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1187	8	78	sub-003	ses-102	task-s8	1;2;3	8;8;8
41	42	41	42	3	3	trialwise	341;2223;3977	341;2223;3977	3;14;25	24;138;124	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	341	3	24	sub-003	ses-101	task-s3	1;2;3	3;3;3
42	43	42	43	3	3	trialwise	68;1865;3633	68;1865;3633	1;12;23	69;98;98	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	68	1	69	sub-003	ses-101	task-s1	1;2;3	1;1;1
43	44	43	44	3	3	trialwise	299;2021;3771	299;2021;3771	2;13;24	141;95;77	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	299	2	141	sub-003	ses-104	task-s2	1;2;3	2;2;2
44	45	44	45	3	3	trialwise	441;2153;3907	441;2153;3907	3;14;25	124;68;54	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	441	3	124	sub-003	ses-101	task-s3	1;2;3	3;3;3
45	46	45	46	3	3	trialwise	288;2040;3747	288;2040;3747	2;13;24	130;114;53	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	288	2	130	sub-003	ses-104	task-s2	1;2;3	2;2;2
46	47	46	47	3	3	trialwise	1266;2901;4760	1266;2901;4760	8;19;30	157;24;115	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1266	8	157	sub-003	ses-102	task-s8	1;2;3	8;8;8
47	48	47	48	3	3	trialwise	19;1782;3550	19;1782;3550	1;12;23	20;15;15	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	19	1	20	sub-003	ses-101	task-s1	1;2;3	1;1;1
48	49	48	49	3	3	trialwise	53;1818;3586	53;1818;3586	1;12;23	54;51;51	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	53	1	54	sub-003	ses-101	task-s1	1;2;3	1;1;1
49	50	49	50	3	3	trialwise	166;2060;3699	166;2060;3699	2;13;24	8;134;5	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	166	2	8	sub-003	ses-104	task-s2	1;2;3	2;2;2
50	51	50	51	3	3	trialwise	370;2130;4007	370;2130;4007	3;14;25	53;45;154	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	370	3	53	sub-003	ses-101	task-s3	1;2;3	3;3;3
51	52	51	52	3	3	trialwise	462;2103;3966	462;2103;3966	3;14;25	145;18;113	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	462	3	145	sub-003	ses-101	task-s3	1;2;3	3;3;3
52	53	52	53	3	3	trialwise	850;2577;4422	850;2577;4422	6;17;28	57;16;93	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	850	6	57	sub-003	ses-102	task-s6	1;2;3	6;6;6
53	54	53	54	3	3	trialwise	1147;3013;4762	1147;3013;4762	8;19;30	38;136;117	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1147	8	38	sub-003	ses-102	task-s8	1;2;3	8;8;8
54	55	54	55	3	3	trialwise	1071;2869;4499	1071;2869;4499	7;18;29	120;150;12	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1071	7	120	sub-003	ses-102	task-s7	1;2;3	7;7;7
55	56	55	56	3	3	trialwise	670;2447;4309	670;2447;4309	5;16;27	35;44;138	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	670	5	35	sub-003	ses-102	task-s5	1;2;3	5;5;5
56	57	56	57	3	3	trialwise	752;2421;4254	752;2421;4254	5;16;27	117;18;83	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	752	5	117	sub-003	ses-102	task-s5	1;2;3	5;5;5
57	58	57	58	3	3	trialwise	859;2644;4413	859;2644;4413	6;17;28	66;83;84	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	859	6	66	sub-003	ses-102	task-s6	1;2;3	6;6;6
58	59	58	59	3	3	trialwise	1052;2854;4537	1052;2854;4537	7;18;29	101;135;50	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1052	7	101	sub-003	ses-102	task-s7	1;2;3	7;7;7
59	60	59	60	3	3	trialwise	1064;2858;4514	1064;2858;4514	7;18;29	113;139;27	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1064	7	113	sub-003	ses-102	task-s7	1;2;3	7;7;7
60	61	60	61	3	3	trialwise	47;1853;3621	47;1853;3621	1;12;23	48;86;86	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	47	1	48	sub-003	ses-101	task-s1	1;2;3	1;1;1
61	62	61	62	3	3	trialwise	1102;2821;4604	1102;2821;4604	7;18;29	151;102;117	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	1102	7	151	sub-003	ses-102	task-s7	1;2;3	7;7;7
62	63	62	63	3	3	trialwise	352;2102;3915	352;2102;3915	3;14;25	35;17;62	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	352	3	35	sub-003	ses-101	task-s3	1;2;3	3;3;3
63	64	63	64	3	3	trialwise	633;2271;4080	633;2271;4080	4;15;26	157;27;68	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	633	4	157	sub-003	ses-102	task-s4	1;2;3	4;4;4
64	65	64	65	3	3	trialwise	781;2510;4178	781;2510;4178	5;16;27	146;107;7	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	781	5	146	sub-003	ses-102	task-s5	1;2;3	5;5;5
65	66	65	66	3	3	trialwise	1132;2993;4803	1132;2993;4803	8;19;30	23;116;158	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1132	8	23	sub-003	ses-102	task-s8	1;2;3	8;8;8
66	67	66	67	3	3	trialwise	600;2396;4015	600;2396;4015	4;15;26	124;152;3	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	600	4	124	sub-003	ses-102	task-s4	1;2;3	4;4;4
67	68	67	68	3	3	trialwise	905;2719;4486	905;2719;4486	6;17;28	112;158;157	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	905	6	112	sub-003	ses-102	task-s6	1;2;3	6;6;6
68	69	68	69	3	3	trialwise	627;2367;4070	627;2367;4070	4;15;26	151;123;58	sub-003_ses-102_task-s4;sub-003_ses-201_task-s4;sub-003_ses-301_task-s4	627	4	151	sub-003	ses-102	task-s4	1;2;3	4;4;4
69	70	69	70	3	3	trialwise	677;2558;4180	677;2558;4180	5;16;27	42;155;9	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	677	5	42	sub-003	ses-102	task-s5	1;2;3	5;5;5
70	71	70	71	3	3	trialwise	802;2582;4391	802;2582;4391	6;17;28	9;21;62	sub-003_ses-102_task-s6;sub-003_ses-201_task-s6;sub-003_ses-301_task-s6	802	6	9	sub-003	ses-102	task-s6	1;2;3	6;6;6
71	72	71	72	3	3	trialwise	169;1930;3750	169;1930;3750	2;13;24	11;4;56	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	169	2	11	sub-003	ses-104	task-s2	1;2;3	2;2;2
72	73	72	73	3	3	trialwise	686;2533;4209	686;2533;4209	5;16;27	51;130;38	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	686	5	51	sub-003	ses-102	task-s5	1;2;3	5;5;5
73	74	73	74	3	3	trialwise	272;2030;3705	272;2030;3705	2;13;24	114;104;11	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	272	2	114	sub-003	ses-104	task-s2	1;2;3	2;2;2
74	75	74	75	3	3	trialwise	323;2192;3970	323;2192;3970	3;14;25	6;107;117	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	323	3	6	sub-003	ses-101	task-s3	1;2;3	3;3;3
75	76	75	76	3	3	trialwise	152;1919;3687	152;1919;3687	1;12;23	153;152;152	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	152	1	153	sub-003	ses-101	task-s1	1;2;3	1;1;1
76	77	76	77	3	3	trialwise	693;2426;4277	693;2426;4277	5;16;27	58;23;106	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	693	5	58	sub-003	ses-102	task-s5	1;2;3	5;5;5
77	78	77	78	3	3	trialwise	463;2195;3904	463;2195;3904	3;14;25	146;110;51	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	463	3	146	sub-003	ses-101	task-s3	1;2;3	3;3;3
78	79	78	79	3	3	trialwise	64;1924;3692	64;1924;3692	1;12;23	65;157;157	sub-003_ses-101_task-s1;sub-003_ses-201_task-s1;sub-003_ses-301_task-s1	64	1	65	sub-003	ses-101	task-s1	1;2;3	1;1;1
79	80	79	80	3	3	trialwise	230;2056;3759	230;2056;3759	2;13;24	72;130;65	sub-003_ses-104_task-s2;sub-003_ses-201_task-s2;sub-003_ses-301_task-s2	230	2	72	sub-003	ses-104	task-s2	1;2;3	2;2;2
80	81	80	81	3	3	trialwise	1180;2886;4763	1180;2886;4763	8;19;30	71;9;118	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1180	8	71	sub-003	ses-102	task-s8	1;2;3	8;8;8
81	82	81	82	3	3	trialwise	690;2552;4326	690;2552;4326	5;16;27	55;149;155	sub-003_ses-102_task-s5;sub-003_ses-201_task-s5;sub-003_ses-301_task-s5	690	5	55	sub-003	ses-102	task-s5	1;2;3	5;5;5
82	83	82	83	3	3	trialwise	1145;2981;4789	1145;2981;4789	8;19;30	36;104;144	sub-003_ses-102_task-s8;sub-003_ses-202_task-s8;sub-003_ses-302_task-s8	1145	8	36	sub-003	ses-102	task-s8	1;2;3	8;8;8
83	84	83	84	3	3	trialwise	959;2820;4606	959;2820;4606	7;18;29	8;101;119	sub-003_ses-102_task-s7;sub-003_ses-202_task-s7;sub-003_ses-301_task-s7	959	7	8	sub-003	ses-102	task-s7	1;2;3	7;7;7
84	85	84	85	3	3	trialwise	405;2206;3941	405;2206;3941	3;14;25	88;121;88	sub-003_ses-101_task-s3;sub-003_ses-201_task-s3;sub-003_ses-301_task-s3	405	3	88	sub-003	ses-101	task-s3	1;2;3	3;3;3
