scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	408;2239;3867	408;2239;3867	3;14;25	91;154;14	sub-012_ses-101_task-s3;sub-012_ses-201_task-s3;sub-012_ses-301_task-s3	408	3	91	sub-012	ses-101	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	12;1847;3583	12;1847;3583	1;12;23	13;80;48	sub-012_ses-101_task-s1;sub-012_ses-201_task-s1;sub-012_ses-301_task-s1	12	1	13	sub-012	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	259;2013;3845	259;2013;3845	2;13;24	101;87;151	sub-012_ses-101_task-s2;sub-012_ses-201_task-s2;sub-012_ses-301_task-s2	259	2	101	sub-012	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	603;2300;4051	603;2300;4051	4;15;26	127;56;39	sub-012_ses-102_task-s4;sub-012_ses-203_task-s4;sub-012_ses-301_task-s4	603	4	127	sub-012	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	883;2609;4448	883;2609;4448	6;17;28	90;48;119	sub-012_ses-102_task-s6;sub-012_ses-203_task-s6;sub-012_ses-302_task-s6	883	6	90	sub-012	ses-102	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	823;2592;4459	823;2592;4459	6;17;28	30;31;130	sub-012_ses-102_task-s6;sub-012_ses-203_task-s6;sub-012_ses-302_task-s6	823	6	30	sub-012	ses-102	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1088;2872;4520	1088;2872;4520	7;18;29	137;153;33	sub-012_ses-102_task-s7;sub-012_ses-203_task-s7;sub-012_ses-302_task-s7	1088	7	137	sub-012	ses-102	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1174;2983;4706	1174;2983;4706	8;19;30	65;106;61	sub-012_ses-103_task-s8;sub-012_ses-204_task-s8;sub-012_ses-302_task-s8	1174	8	65	sub-012	ses-103	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	969;2728;4630	969;2728;4630	7;18;29	18;9;143	sub-012_ses-102_task-s7;sub-012_ses-203_task-s7;sub-012_ses-302_task-s7	969	7	18	sub-012	ses-102	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1085;2779;4567	1085;2779;4567	7;18;29	134;60;80	sub-012_ses-102_task-s7;sub-012_ses-203_task-s7;sub-012_ses-302_task-s7	1085	7	134	sub-012	ses-102	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	85;1834;3662	85;1834;3662	1;12;23	86;67;127	sub-012_ses-101_task-s1;sub-012_ses-201_task-s1;sub-012_ses-301_task-s1	85	1	86	sub-012	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	64;1899;3542	64;1899;3542	1;12;23	65;132;7	sub-012_ses-101_task-s1;sub-012_ses-201_task-s1;sub-012_ses-301_task-s1	64	1	65	sub-012	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	937;2676;4344	937;2676;4344	6;17;28	144;115;15	sub-012_ses-102_task-s6;sub-012_ses-203_task-s6;sub-012_ses-302_task-s6	937	6	144	sub-012	ses-102	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	350;2105;3902	350;2105;3902	3;14;25	33;20;49	sub-012_ses-101_task-s3;sub-012_ses-201_task-s3;sub-012_ses-301_task-s3	350	3	33	sub-012	ses-101	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1120;2989;4786	1120;2989;4786	8;19;30	11;112;141	sub-012_ses-103_task-s8;sub-012_ses-204_task-s8;sub-012_ses-302_task-s8	1120	8	11	sub-012	ses-103	task-s8	1;2;3	8;8;8
