scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	445;2093;3978	445;2093;3978	3;14;25	128;8;125	sub-007_ses-101_task-s3;sub-007_ses-203_task-s3;sub-007_ses-301_task-s3	445	3	128	sub-007	ses-101	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	136;1795;3652	136;1795;3652	1;12;23	137;28;117	sub-007_ses-101_task-s1;sub-007_ses-201_task-s1;sub-007_ses-301_task-s1	136	1	137	sub-007	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	212;2077;3817	212;2077;3817	2;13;24	54;151;123	sub-007_ses-101_task-s2;sub-007_ses-202_task-s2;sub-007_ses-301_task-s2	212	2	54	sub-007	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	608;2280;4152	608;2280;4152	4;15;26	132;36;140	sub-007_ses-102_task-s4;sub-007_ses-203_task-s4;sub-007_ses-301_task-s4	608	4	132	sub-007	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	945;2625;4399	945;2625;4399	6;17;28	152;64;70	sub-007_ses-102_task-s6;sub-007_ses-203_task-s6;sub-007_ses-302_task-s6	945	6	152	sub-007	ses-102	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	922;2597;4473	922;2597;4473	6;17;28	129;36;144	sub-007_ses-102_task-s6;sub-007_ses-203_task-s6;sub-007_ses-302_task-s6	922	6	129	sub-007	ses-102	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1085;2805;4538	1085;2805;4538	7;18;29	134;86;51	sub-007_ses-102_task-s7;sub-007_ses-203_task-s7;sub-007_ses-302_task-s7	1085	7	134	sub-007	ses-102	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1237;2994;4768	1237;2994;4768	8;19;30	128;117;123	sub-007_ses-102_task-s8;sub-007_ses-204_task-s8;sub-007_ses-303_task-s8	1237	8	128	sub-007	ses-102	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	968;2830;4553	968;2830;4553	7;18;29	17;111;66	sub-007_ses-102_task-s7;sub-007_ses-203_task-s7;sub-007_ses-302_task-s7	968	7	17	sub-007	ses-102	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1009;2753;4537	1009;2753;4537	7;18;29	58;34;50	sub-007_ses-102_task-s7;sub-007_ses-203_task-s7;sub-007_ses-302_task-s7	1009	7	58	sub-007	ses-102	task-s7	1;2;3	7;7;7
