participant_id	task_id	interval_type	session1_id	session2_id	date1	date2	interval_days
sub-001	task-s1	session1_to_session2	ses-201	ses-301	2025-10-15	2025-10-26	11
sub-001	task-s1	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s10	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-19	15
sub-001	task-s10	session2_to_session3	ses-202	ses-303	2025-10-19	2025-10-29	10
sub-001	task-s11	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-19	15
sub-001	task-s11	session2_to_session3	ses-202	ses-303	2025-10-19	2025-10-29	10
sub-001	task-s2	session1_to_session2	ses-201	ses-301	2025-10-15	2025-10-26	11
sub-001	task-s2	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s3	session1_to_session2	ses-201	ses-301	2025-10-15	2025-10-26	11
sub-001	task-s3	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s4	session1_to_session2	ses-202	ses-301	2025-10-19	2025-10-26	7
sub-001	task-s4	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s5	session1_to_session2	ses-202	ses-301	2025-10-19	2025-10-26	7
sub-001	task-s5	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s6	session1_to_session2	ses-202	ses-301	2025-10-19	2025-10-26	7
sub-001	task-s6	session2_to_session3	ses-301	ses-102	2025-10-26	2025-12-23	58
sub-001	task-s7	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-19	15
sub-001	task-s7	session2_to_session3	ses-202	ses-302	2025-10-19	2025-10-29	10
sub-001	task-s8	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-19	15
sub-001	task-s8	session2_to_session3	ses-202	ses-303	2025-10-19	2025-10-29	10
sub-001	task-s9	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-19	15
sub-001	task-s9	session2_to_session3	ses-202	ses-303	2025-10-19	2025-10-29	10
sub-002	task-s1	session1_to_session2	ses-201	ses-301	2025-10-18	2025-11-07	20
sub-002	task-s1	session2_to_session3	ses-301	ses-103	2025-11-07	2025-12-26	49
sub-002	task-s10	session1_to_session2	ses-104	ses-203	2025-10-04	2025-10-25	21
sub-002	task-s10	session2_to_session3	ses-203	ses-303	2025-10-25	2025-11-08	14
sub-002	task-s11	session1_to_session2	ses-104	ses-203	2025-10-04	2025-10-25	21
sub-002	task-s11	session2_to_session3	ses-203	ses-303	2025-10-25	2025-11-08	14
sub-002	task-s2	session1_to_session2	ses-201	ses-301	2025-10-18	2025-11-07	20
sub-002	task-s2	session2_to_session3	ses-301	ses-103	2025-11-07	2025-12-26	49
sub-002	task-s3	session1_to_session2	ses-201	ses-301	2025-10-18	2025-11-07	20
sub-002	task-s3	session2_to_session3	ses-301	ses-103	2025-11-07	2025-12-26	49
sub-002	task-s4	session1_to_session2	ses-201	ses-301	2025-10-18	2025-11-07	20
sub-002	task-s4	session2_to_session3	ses-301	ses-103	2025-11-07	2025-12-26	49
sub-002	task-s5	session1_to_session2	ses-201	ses-301	2025-10-18	2025-11-07	20
sub-002	task-s5	session2_to_session3	ses-301	ses-105	2025-11-07	2025-12-27	50
sub-002	task-s6	session1_to_session2	ses-202	ses-302	2025-10-18	2025-11-07	20
sub-002	task-s6	session2_to_session3	ses-302	ses-105	2025-11-07	2025-12-27	50
sub-002	task-s7	session1_to_session2	ses-202	ses-302	2025-10-18	2025-11-07	20
sub-002	task-s7	session2_to_session3	ses-302	ses-105	2025-11-07	2025-12-27	50
sub-002	task-s8	session1_to_session2	ses-202	ses-303	2025-10-18	2025-11-08	21
sub-002	task-s8	session2_to_session3	ses-303	ses-105	2025-11-08	2025-12-27	49
sub-002	task-s9	session1_to_session2	ses-104	ses-203	2025-10-04	2025-10-25	21
sub-002	task-s9	session2_to_session3	ses-203	ses-303	2025-10-25	2025-11-08	14
sub-003	task-s1	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-17	14
sub-003	task-s1	session2_to_session3	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s10	session1_to_session2	ses-202	ses-302	2025-10-17	2025-10-23	6
sub-003	task-s10	session2_to_session3	ses-302	ses-104	2025-10-23	2025-12-22	60
sub-003	task-s11	session1_to_session2	ses-103	ses-202	2025-10-03	2025-10-17	14
sub-003	task-s11	session2_to_session3	ses-202	ses-302	2025-10-17	2025-10-23	6
sub-003	task-s2	session1_to_session2	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s2	session2_to_session3	ses-301	ses-104	2025-10-23	2025-12-22	60
sub-003	task-s3	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-17	14
sub-003	task-s3	session2_to_session3	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s4	session1_to_session2	ses-102	ses-201	2025-10-03	2025-10-17	14
sub-003	task-s4	session2_to_session3	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s5	session1_to_session2	ses-102	ses-201	2025-10-03	2025-10-17	14
sub-003	task-s5	session2_to_session3	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s6	session1_to_session2	ses-102	ses-201	2025-10-03	2025-10-17	14
sub-003	task-s6	session2_to_session3	ses-201	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s7	session1_to_session2	ses-102	ses-202	2025-10-03	2025-10-17	14
sub-003	task-s7	session2_to_session3	ses-202	ses-301	2025-10-17	2025-10-23	6
sub-003	task-s8	session1_to_session2	ses-102	ses-202	2025-10-03	2025-10-17	14
sub-003	task-s8	session2_to_session3	ses-202	ses-302	2025-10-17	2025-10-23	6
sub-003	task-s9	session1_to_session2	ses-202	ses-302	2025-10-17	2025-10-23	6
sub-003	task-s9	session2_to_session3	ses-302	ses-104	2025-10-23	2025-12-22	60
sub-004	task-s1	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-18	15
sub-004	task-s1	session2_to_session3	ses-201	ses-301	2025-10-18	2025-10-25	7
sub-004	task-s10	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-18	14
sub-004	task-s10	session2_to_session3	ses-202	ses-303	2025-10-18	2025-10-25	7
sub-004	task-s11	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-18	14
sub-004	task-s11	session2_to_session3	ses-202	ses-303	2025-10-18	2025-10-25	7
sub-004	task-s2	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-18	15
sub-004	task-s2	session2_to_session3	ses-201	ses-301	2025-10-18	2025-10-25	7
sub-004	task-s3	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-18	15
sub-004	task-s3	session2_to_session3	ses-201	ses-302	2025-10-18	2025-10-25	7
sub-004	task-s4	session1_to_session2	ses-102	ses-201	2025-10-04	2025-10-18	14
sub-004	task-s4	session2_to_session3	ses-201	ses-302	2025-10-18	2025-10-25	7
sub-004	task-s5	session1_to_session2	ses-102	ses-201	2025-10-04	2025-10-18	14
sub-004	task-s5	session2_to_session3	ses-201	ses-302	2025-10-18	2025-10-25	7
sub-004	task-s6	session1_to_session2	ses-102	ses-201	2025-10-04	2025-10-18	14
sub-004	task-s6	session2_to_session3	ses-201	ses-302	2025-10-18	2025-10-25	7
sub-004	task-s7	session1_to_session2	ses-102	ses-202	2025-10-04	2025-10-18	14
sub-004	task-s7	session2_to_session3	ses-202	ses-303	2025-10-18	2025-10-25	7
sub-004	task-s8	session1_to_session2	ses-103	ses-202	2025-10-04	2025-10-18	14
sub-004	task-s8	session2_to_session3	ses-202	ses-303	2025-10-18	2025-10-25	7
sub-004	task-s9	session1_to_session2	ses-202	ses-303	2025-10-18	2025-10-25	7
sub-004	task-s9	session2_to_session3	ses-303	ses-104	2025-10-25	2025-12-22	58
sub-005	task-s1	session1_to_session2	ses-201	ses-303	2025-11-04	2025-11-28	24
sub-005	task-s1	session2_to_session3	ses-303	ses-105	2025-11-28	2025-12-23	25
sub-005	task-s10	session1_to_session2	ses-203	ses-303	2025-11-04	2025-11-28	24
sub-005	task-s10	session2_to_session3	ses-303	ses-105	2025-11-28	2025-12-23	25
sub-005	task-s11	session1_to_session2	ses-104	ses-203	2025-10-29	2025-11-04	6
sub-005	task-s11	session2_to_session3	ses-203	ses-303	2025-11-04	2025-11-28	24
sub-005	task-s2	session1_to_session2	ses-101	ses-201	2025-10-03	2025-11-04	32
sub-005	task-s2	session2_to_session3	ses-201	ses-301	2025-11-04	2025-11-10	6
sub-005	task-s3	session1_to_session2	ses-102	ses-202	2025-10-03	2025-11-04	32
sub-005	task-s3	session2_to_session3	ses-202	ses-301	2025-11-04	2025-11-10	6
sub-005	task-s4	session1_to_session2	ses-103	ses-202	2025-10-29	2025-11-04	6
sub-005	task-s4	session2_to_session3	ses-202	ses-301	2025-11-04	2025-11-10	6
sub-005	task-s5	session1_to_session2	ses-103	ses-202	2025-10-29	2025-11-04	6
sub-005	task-s5	session2_to_session3	ses-202	ses-301	2025-11-04	2025-11-10	6
sub-005	task-s6	session1_to_session2	ses-103	ses-203	2025-10-29	2025-11-04	6
sub-005	task-s6	session2_to_session3	ses-203	ses-301	2025-11-04	2025-11-10	6
sub-005	task-s7	session1_to_session2	ses-104	ses-203	2025-10-29	2025-11-04	6
sub-005	task-s7	session2_to_session3	ses-203	ses-302	2025-11-04	2025-11-26	22
sub-005	task-s8	session1_to_session2	ses-104	ses-203	2025-10-29	2025-11-04	6
sub-005	task-s8	session2_to_session3	ses-203	ses-303	2025-11-04	2025-11-28	24
sub-005	task-s9	session1_to_session2	ses-104	ses-303	2025-10-29	2025-11-28	30
sub-005	task-s9	session2_to_session3	ses-303	ses-204	2025-11-28	2025-12-09	11
sub-006	task-s1	session1_to_session2	ses-101	ses-201	2025-10-03	2025-10-25	22
sub-006	task-s1	session2_to_session3	ses-201	ses-301	2025-10-25	2025-10-30	5
sub-006	task-s10	session1_to_session2	ses-104	ses-205	2025-10-06	2025-10-30	24
