scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	340;2180;3911	340;2180;3911	3;14;25	23;95;58	sub-009_ses-103_task-s3;sub-009_ses-202_task-s3;sub-009_ses-302_task-s3	340	3	23	sub-009	ses-103	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	126;1783;3537	126;1783;3537	1;12;23	127;16;2	sub-009_ses-102_task-s1;sub-009_ses-201_task-s1;sub-009_ses-301_task-s1	126	1	127	sub-009	ses-102	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	258;2041;3821	258;2041;3821	2;13;24	100;115;127	sub-009_ses-102_task-s2;sub-009_ses-201_task-s2;sub-009_ses-302_task-s2	258	2	100	sub-009	ses-102	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	626;2305;4146	626;2305;4146	4;15;26	150;61;134	sub-009_ses-103_task-s4;sub-009_ses-202_task-s4;sub-009_ses-302_task-s4	626	4	150	sub-009	ses-103	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	852;2677;4445	852;2677;4445	6;17;28	59;116;116	sub-009_ses-104_task-s6;sub-009_ses-203_task-s6;sub-009_ses-303_task-s6	852	6	59	sub-009	ses-104	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	925;2663;4417	925;2663;4417	6;17;28	132;102;88	sub-009_ses-104_task-s6;sub-009_ses-203_task-s6;sub-009_ses-303_task-s6	925	6	132	sub-009	ses-104	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	974;2806;4607	974;2806;4607	7;18;29	23;87;120	sub-009_ses-104_task-s7;sub-009_ses-204_task-s7;sub-009_ses-303_task-s7	974	7	23	sub-009	ses-104	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1225;2888;4719	1225;2888;4719	8;19;30	116;11;74	sub-009_ses-104_task-s8;sub-009_ses-204_task-s8;sub-009_ses-303_task-s8	1225	8	116	sub-009	ses-104	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	1024;2819;4615	1024;2819;4615	7;18;29	73;100;128	sub-009_ses-104_task-s7;sub-009_ses-204_task-s7;sub-009_ses-303_task-s7	1024	7	73	sub-009	ses-104	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	1082;2784;4603	1082;2784;4603	7;18;29	131;65;116	sub-009_ses-104_task-s7;sub-009_ses-204_task-s7;sub-009_ses-303_task-s7	1082	7	131	sub-009	ses-104	task-s7	1;2;3	7;7;7
