scalar_index_0based	condition_id	condition_col_0based	condition_col_1based	n_trials_presented	n_betas_averaged	beta_index_mode	source_beta_rows_0based	trial_indices_0based	run_indices_1based	local_trial_indices	run_stems	first_trial_index_0based	first_run_index_1based	first_local_trial_index	first_sub	first_ses	first_task	repeat_indices	task_indices
0	1	0	1	3	3	trialwise	369;2180;3872	369;2180;3872	3;14;25	52;95;19	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	369	3	52	sub-019	ses-102	task-s3	1;2;3	3;3;3
1	2	1	2	3	3	trialwise	58;1867;3592	58;1867;3592	1;12;23	59;100;57	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	58	1	59	sub-019	ses-101	task-s1	1;2;3	1;1;1
2	3	2	3	3	3	trialwise	211;2067;3705	211;2067;3705	2;13;24	53;141;11	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	211	2	53	sub-019	ses-101	task-s2	1;2;3	2;2;2
3	4	3	4	3	3	trialwise	490;2324;4022	490;2324;4022	4;15;26	14;80;10	sub-019_ses-102_task-s4;sub-019_ses-202_task-s4;sub-019_ses-302_task-s4	490	4	14	sub-019	ses-102	task-s4	1;2;3	4;4;4
4	5	4	5	3	3	trialwise	873;2582;4382	873;2582;4382	6;17;28	80;21;53	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	873	6	80	sub-019	ses-103	task-s6	1;2;3	6;6;6
5	6	5	6	3	3	trialwise	894;2598;4441	894;2598;4441	6;17;28	101;37;112	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	894	6	101	sub-019	ses-103	task-s6	1;2;3	6;6;6
6	7	6	7	3	3	trialwise	1077;2796;4519	1077;2796;4519	7;18;29	126;77;32	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	1077	7	126	sub-019	ses-104	task-s7	1;2;3	7;7;7
7	8	7	8	3	3	trialwise	1183;2997;4653	1183;2997;4653	8;19;30	74;120;8	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1183	8	74	sub-019	ses-105	task-s8	1;2;3	8;8;8
8	9	8	9	3	3	trialwise	1090;2829;4551	1090;2829;4551	7;18;29	139;110;64	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	1090	7	139	sub-019	ses-104	task-s7	1;2;3	7;7;7
9	10	9	10	3	3	trialwise	970;2735;4589	970;2735;4589	7;18;29	19;16;102	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	970	7	19	sub-019	ses-104	task-s7	1;2;3	7;7;7
10	11	10	11	3	3	trialwise	38;1905;3689	38;1905;3689	1;12;23	39;138;154	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	38	1	39	sub-019	ses-101	task-s1	1;2;3	1;1;1
11	12	11	12	3	3	trialwise	11;1900;3640	11;1900;3640	1;12;23	12;133;105	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	11	1	12	sub-019	ses-101	task-s1	1;2;3	1;1;1
12	13	12	13	3	3	trialwise	852;2714;4332	852;2714;4332	6;17;28	59;153;3	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	852	6	59	sub-019	ses-103	task-s6	1;2;3	6;6;6
13	14	13	14	3	3	trialwise	459;2092;4011	459;2092;4011	3;14;25	142;7;158	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	459	3	142	sub-019	ses-102	task-s3	1;2;3	3;3;3
14	15	14	15	3	3	trialwise	1151;2925;4758	1151;2925;4758	8;19;30	42;48;113	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1151	8	42	sub-019	ses-105	task-s8	1;2;3	8;8;8
15	16	15	16	3	3	trialwise	663;2551;4215	663;2551;4215	5;16;27	28;148;44	sub-019_ses-103_task-s5;sub-019_ses-202_task-s5;sub-019_ses-303_task-s5	663	5	28	sub-019	ses-103	task-s5	1;2;3	5;5;5
16	17	16	17	3	3	trialwise	439;2159;3982	439;2159;3982	3;14;25	122;74;129	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	439	3	122	sub-019	ses-102	task-s3	1;2;3	3;3;3
17	18	17	18	3	3	trialwise	1213;2990;4657	1213;2990;4657	8;19;30	104;113;12	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1213	8	104	sub-019	ses-105	task-s8	1;2;3	8;8;8
18	19	18	19	3	3	trialwise	859;2648;4348	859;2648;4348	6;17;28	66;87;19	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	859	6	66	sub-019	ses-103	task-s6	1;2;3	6;6;6
19	20	19	20	3	3	trialwise	900;2647;4419	900;2647;4419	6;17;28	107;86;90	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	900	6	107	sub-019	ses-103	task-s6	1;2;3	6;6;6
20	21	20	21	3	3	trialwise	381;2128;3931	381;2128;3931	3;14;25	64;43;78	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	381	3	64	sub-019	ses-102	task-s3	1;2;3	3;3;3
21	22	21	22	3	3	trialwise	676;2474;4180	676;2474;4180	5;16;27	41;71;9	sub-019_ses-103_task-s5;sub-019_ses-202_task-s5;sub-019_ses-303_task-s5	676	5	41	sub-019	ses-103	task-s5	1;2;3	5;5;5
22	23	22	23	3	3	trialwise	788;2439;4327	788;2439;4327	5;16;27	153;36;156	sub-019_ses-103_task-s5;sub-019_ses-202_task-s5;sub-019_ses-303_task-s5	788	5	153	sub-019	ses-103	task-s5	1;2;3	5;5;5
23	24	23	24	3	3	trialwise	213;2068;3719	213;2068;3719	2;13;24	55;142;25	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	213	2	55	sub-019	ses-101	task-s2	1;2;3	2;2;2
24	25	24	25	3	3	trialwise	103;1906;3670	103;1906;3670	1;12;23	104;139;135	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	103	1	104	sub-019	ses-101	task-s1	1;2;3	1;1;1
25	26	25	26	3	3	trialwise	299;1951;3768	299;1951;3768	2;13;24	141;25;74	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	299	2	141	sub-019	ses-101	task-s2	1;2;3	2;2;2
26	27	26	27	3	3	trialwise	1093;2727;4579	1093;2727;4579	7;18;29	142;8;92	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	1093	7	142	sub-019	ses-104	task-s7	1;2;3	7;7;7
27	28	27	28	3	3	trialwise	352;2095;3946	352;2095;3946	3;14;25	35;10;93	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	352	3	35	sub-019	ses-102	task-s3	1;2;3	3;3;3
28	29	28	29	3	3	trialwise	575;2366;4057	575;2366;4057	4;15;26	99;122;45	sub-019_ses-102_task-s4;sub-019_ses-202_task-s4;sub-019_ses-302_task-s4	575	4	99	sub-019	ses-102	task-s4	1;2;3	4;4;4
29	30	29	30	3	3	trialwise	715;2412;4283	715;2412;4283	5;16;27	80;9;112	sub-019_ses-103_task-s5;sub-019_ses-202_task-s5;sub-019_ses-303_task-s5	715	5	80	sub-019	ses-103	task-s5	1;2;3	5;5;5
30	31	30	31	3	3	trialwise	183;2015;3848	183;2015;3848	2;13;24	25;89;154	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	183	2	25	sub-019	ses-101	task-s2	1;2;3	2;2;2
31	32	31	32	3	3	trialwise	1048;2815;4645	1048;2815;4645	7;18;29	97;96;158	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	1048	7	97	sub-019	ses-104	task-s7	1;2;3	7;7;7
32	33	32	33	3	3	trialwise	966;2782;4536	966;2782;4536	7;18;29	15;63;49	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	966	7	15	sub-019	ses-104	task-s7	1;2;3	7;7;7
33	34	33	34	3	3	trialwise	1002;2827;4550	1002;2827;4550	7;18;29	51;108;63	sub-019_ses-104_task-s7;sub-019_ses-203_task-s7;sub-019_ses-303_task-s7	1002	7	51	sub-019	ses-104	task-s7	1;2;3	7;7;7
34	35	34	35	3	3	trialwise	769;2553;4186	769;2553;4186	5;16;27	134;150;15	sub-019_ses-103_task-s5;sub-019_ses-202_task-s5;sub-019_ses-303_task-s5	769	5	134	sub-019	ses-103	task-s5	1;2;3	5;5;5
35	36	35	36	3	3	trialwise	537;2397;4069	537;2397;4069	4;15;26	61;153;57	sub-019_ses-102_task-s4;sub-019_ses-202_task-s4;sub-019_ses-302_task-s4	537	4	61	sub-019	ses-102	task-s4	1;2;3	4;4;4
36	37	36	37	3	3	trialwise	169;1957;3787	169;1957;3787	2;13;24	11;31;93	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	169	2	11	sub-019	ses-101	task-s2	1;2;3	2;2;2
37	38	37	38	3	3	trialwise	1259;2879;4677	1259;2879;4677	8;19;30	150;2;32	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1259	8	150	sub-019	ses-105	task-s8	1;2;3	8;8;8
38	39	38	39	3	3	trialwise	794;2590;4341	794;2590;4341	6;17;28	1;29;12	sub-019_ses-103_task-s6;sub-019_ses-203_task-s6;sub-019_ses-303_task-s6	794	6	1	sub-019	ses-103	task-s6	1;2;3	6;6;6
39	40	39	40	3	3	trialwise	1236;2936;4784	1236;2936;4784	8;19;30	127;59;139	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1236	8	127	sub-019	ses-105	task-s8	1;2;3	8;8;8
40	41	40	41	3	3	trialwise	1118;2916;4728	1118;2916;4728	8;19;30	9;39;83	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1118	8	9	sub-019	ses-105	task-s8	1;2;3	8;8;8
41	42	41	42	3	3	trialwise	420;2108;3861	420;2108;3861	3;14;25	103;23;8	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	420	3	103	sub-019	ses-102	task-s3	1;2;3	3;3;3
42	43	42	43	3	3	trialwise	155;1784;3662	155;1784;3662	1;12;23	156;17;127	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	155	1	156	sub-019	ses-101	task-s1	1;2;3	1;1;1
43	44	43	44	3	3	trialwise	310;1947;3736	310;1947;3736	2;13;24	152;21;42	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	310	2	152	sub-019	ses-101	task-s2	1;2;3	2;2;2
44	45	44	45	3	3	trialwise	474;2201;3893	474;2201;3893	3;14;25	157;116;40	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	474	3	157	sub-019	ses-102	task-s3	1;2;3	3;3;3
45	46	45	46	3	3	trialwise	274;1994;3840	274;1994;3840	2;13;24	116;68;146	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	274	2	116	sub-019	ses-101	task-s2	1;2;3	2;2;2
46	47	46	47	3	3	trialwise	1223;2911;4675	1223;2911;4675	8;19;30	114;34;30	sub-019_ses-105_task-s8;sub-019_ses-204_task-s8;sub-019_ses-303_task-s8	1223	8	114	sub-019	ses-105	task-s8	1;2;3	8;8;8
47	48	47	48	3	3	trialwise	134;1842;3674	134;1842;3674	1;12;23	135;75;139	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	134	1	135	sub-019	ses-101	task-s1	1;2;3	1;1;1
48	49	48	49	3	3	trialwise	33;1818;3548	33;1818;3548	1;12;23	34;51;13	sub-019_ses-101_task-s1;sub-019_ses-201_task-s1;sub-019_ses-301_task-s1	33	1	34	sub-019	ses-101	task-s1	1;2;3	1;1;1
49	50	49	50	3	3	trialwise	237;1959;3752	237;1959;3752	2;13;24	79;33;58	sub-019_ses-101_task-s2;sub-019_ses-201_task-s2;sub-019_ses-301_task-s2	237	2	79	sub-019	ses-101	task-s2	1;2;3	2;2;2
50	51	50	51	3	3	trialwise	331;2135;3895	331;2135;3895	3;14;25	14;50;42	sub-019_ses-102_task-s3;sub-019_ses-202_task-s3;sub-019_ses-301_task-s3	331	3	14	sub-019	ses-102	task-s3	1;2;3	3;3;3
