scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	4013	26	1	0	949	948	949	0.1640309999929741	0.1640309999929741	0	1	-0.1640309999929741	round	sub-018	ses-302	task-s4	3	4
1	4014	26	2	1	346	345	346	3.68028100009542	3.68028100009542	4	5	0.3197189999045799	round	sub-018	ses-302	task-s4	3	4
2	4015	26	3	2	829	828	829	7.514270000043325	7.514270000043325	8	9	0.4857299999566749	round	sub-018	ses-302	task-s4	3	4
3	4016	26	4	3	11251	1750	1751	11.630778999999166	11.630778999999166	12	13	0.3692210000008344	round	sub-018	ses-302	task-s4	3	4
4	4017	26	5	4	465	464	465	14.881179000018165	14.881179000018165	15	16	0.1188209999818354	round	sub-018	ses-302	task-s4	3	4
5	4018	26	6	5	987	986	987	18.597970000002533	18.597970000002533	19	20	0.4020299999974668	round	sub-018	ses-302	task-s4	3	4
6	4019	26	7	6	1046	1045	1046	22.73143600008916	22.73143600008916	23	24	0.2685639999108389	round	sub-018	ses-302	task-s4	3	4
7	4020	26	8	7	195	194	195	26.54797200008761	26.54797200008761	27	28	0.4520279999123886	round	sub-018	ses-302	task-s4	3	4
8	4021	26	9	9	671	670	671	33.44845900009386	33.44845900009386	33	34	-0.4484590000938624	round	sub-018	ses-302	task-s4	3	4
9	4022	26	10	10	482	481	482	37.08191100007389	37.08191100007389	37	38	-0.0819110000738874	round	sub-018	ses-302	task-s4	3	4
10	4023	26	11	11	202	201	202	41.21537900005933	41.21537900005933	41	42	-0.2153790000593289	round	sub-018	ses-302	task-s4	3	4
11	4024	26	12	12	883	882	883	44.76549000001978	44.76549000001978	45	46	0.2345099999802187	round	sub-018	ses-302	task-s4	3	4
12	4025	26	13	13	707	706	707	48.88199300004635	48.88199300004635	49	50	0.1180069999536499	round	sub-018	ses-302	task-s4	3	4
13	4026	26	14	14	666	665	666	52.21573900000658	52.21573900000658	52	53	-0.2157390000065788	round	sub-018	ses-302	task-s4	3	4
14	4027	26	15	15	1019	1018	1019	55.91585099999793	55.91585099999793	56	57	0.0841490000020712	round	sub-018	ses-302	task-s4	3	4
15	4028	26	16	16	1111	1110	1111	59.232357000000775	59.232357000000775	59	60	-0.2323570000007748	round	sub-018	ses-302	task-s4	3	4
16	4029	26	17	17	968	967	968	62.58273900009226	62.58273900009226	63	64	0.4172609999077394	round	sub-018	ses-302	task-s4	3	4
17	4030	26	18	18	11245	1744	1745	66.61620600009337	66.61620600009337	67	68	0.3837939999066293	round	sub-018	ses-302	task-s4	3	4
18	4031	26	19	19	761	760	761	69.93299600004684	69.93299600004684	70	71	0.0670039999531582	round	sub-018	ses-302	task-s4	3	4
19	4032	26	20	20	36	35	36	73.64942999999039	73.64942999999039	74	75	0.3505700000096112	round	sub-018	ses-302	task-s4	3	4
20	4033	26	21	21	11206	1705	1706	77.58323600003496	77.58323600003496	78	79	0.4167639999650419	round	sub-018	ses-302	task-s4	3	4
21	4034	26	22	22	945	944	945	81.43336100003216	81.43336100003216	81	82	-0.4333610000321641	round	sub-018	ses-302	task-s4	3	4
22	4035	26	23	24	446	445	446	89.60029700002633	89.60029700002633	90	91	0.3997029999736696	round	sub-018	ses-302	task-s4	3	4
23	4036	26	24	25	1119	1118	1119	93.73376299999654	93.73376299999654	94	95	0.266237000003457	round	sub-018	ses-302	task-s4	3	4
24	4037	26	25	26	452	451	452	97.46721800009254	97.46721800009254	97	98	-0.4672180000925436	round	sub-018	ses-302	task-s4	3	4
25	4038	26	26	27	969	968	969	100.9006689999951	100.9006689999951	101	102	0.099331000004895	round	sub-018	ses-302	task-s4	3	4
26	4039	26	27	28	460	459	460	104.55078000004868	104.55078000004868	105	106	0.4492199999513246	round	sub-018	ses-302	task-s4	3	4
27	4040	26	28	30	394	393	394	112.8510580000002	112.8510580000002	113	114	0.1489419999998062	round	sub-018	ses-302	task-s4	3	4
