scalar_index_0based	_trial_index_0based	run_index_1based	local_trial_index	orig_event_index	condition_id	condition_col_0based	condition_col_1based	onset_sec	onset_tr_float	onset_tr_0based	onset_tr_1based	onset_error_sec	onset_binning	sub_label	ses_label	task_label	repeat_index	task_index
0	3370	22	1	0	9834	1554	1555	0.161454000044614	0.161454000044614	0	1	-0.161454000044614	round	sub-012	ses-205	task-s11	2	11
1	3371	22	2	1	10766	1602	1603	4.277950000017881	4.277950000017881	4	5	-0.2779500000178814	round	sub-012	ses-205	task-s11	2	11
2	3372	22	3	2	8931	1510	1511	8.211118000093848	8.211118000093848	8	9	-0.2111180000938475	round	sub-012	ses-205	task-s11	2	11
3	3373	22	4	3	2324	1180	1181	12.42832800000906	12.42832800000906	12	13	-0.4283280000090599	round	sub-012	ses-205	task-s11	2	11
4	3374	22	5	4	8953	1511	1512	15.750220000045374	15.750220000045374	16	17	0.2497799999546259	round	sub-012	ses-205	task-s11	2	11
5	3375	22	6	5	7572	1443	1444	19.886749000055715	19.886749000055715	20	21	0.1132509999442845	round	sub-012	ses-205	task-s11	2	11
6	3376	22	7	6	8997	1513	1514	23.71184800006449	23.71184800006449	24	25	0.2881519999355113	round	sub-012	ses-205	task-s11	2	11
7	3377	22	8	7	11037	1615	1616	27.52880199998617	27.52880199998617	28	29	0.4711980000138283	round	sub-012	ses-205	task-s11	2	11
8	3378	22	9	8	4207	1274	1275	31.261713000014424	31.261713000014424	31	32	-0.2617130000144243	round	sub-012	ses-205	task-s11	2	11
9	3379	22	10	9	7840	1455	1456	35.07881100010127	35.07881100010127	35	36	-0.0788110001012682	round	sub-012	ses-205	task-s11	2	11
10	3380	22	11	11	4985	1312	1313	41.962523000082	41.962523000082	42	43	0.0374769999179989	round	sub-012	ses-205	task-s11	2	11
11	3381	22	12	12	10534	1591	1592	45.58326700003818	45.58326700003818	46	47	0.4167329999618232	round	sub-012	ses-205	task-s11	2	11
12	3382	22	13	13	2332	1181	1182	49.49611499998719	49.49611499998719	49	50	-0.4961149999871921	round	sub-012	ses-205	task-s11	2	11
13	3383	22	14	14	5350	1331	1332	53.620737000135705	53.620737000135705	54	55	0.3792629998642951	round	sub-012	ses-205	task-s11	2	11
14	3384	22	15	15	7139	1420	1421	57.32969900011085	57.32969900011085	57	58	-0.3296990001108497	round	sub-012	ses-205	task-s11	2	11
15	3385	22	16	16	3203	1224	1225	61.45473100012168	61.45473100012168	61	62	-0.4547310001216829	round	sub-012	ses-205	task-s11	2	11
16	3386	22	17	17	9399	1533	1534	64.96339900000021	64.96339900000021	65	66	0.0366009999997913	round	sub-012	ses-205	task-s11	2	11
17	3387	22	18	19	4334	1280	1281	72.24692900013179	72.24692900013179	72	73	-0.2469290001317858	round	sub-012	ses-205	task-s11	2	11
18	3388	22	19	20	2615	1195	1196	75.57083100010641	75.57083100010641	76	77	0.4291689998935908	round	sub-012	ses-205	task-s11	2	11
19	3389	22	20	21	7547	1441	1442	78.7877560001798	78.7877560001798	79	80	0.2122439998202026	round	sub-012	ses-205	task-s11	2	11
20	3390	22	21	22	6708	1399	1400	82.21385699999519	82.21385699999519	82	83	-0.2138569999951869	round	sub-012	ses-205	task-s11	2	11
21	3391	22	22	23	10210	1574	1575	86.1214270000346	86.1214270000346	86	87	-0.1214270000346005	round	sub-012	ses-205	task-s11	2	11
22	3392	22	23	24	8117	1469	1470	89.74753900012001	89.74753900012001	90	91	0.252460999879986	round	sub-012	ses-205	task-s11	2	11
23	3393	22	24	25	4395	1283	1284	93.76409100019372	93.76409100019372	94	95	0.2359089998062842	round	sub-012	ses-205	task-s11	2	11
24	3394	22	25	26	8261	1477	1478	97.88744900003076	97.88744900003076	98	99	0.112550999969244	round	sub-012	ses-205	task-s11	2	11
25	3395	22	26	27	10239	1575	1576	101.8896970001515	101.8896970001515	102	103	0.1103029998484999	round	sub-012	ses-205	task-s11	2	11
26	3396	22	27	28	1206	1124	1125	105.23099600011484	105.23099600011484	105	106	-0.2309960001148425	round	sub-012	ses-205	task-s11	2	11
27	3397	22	28	29	11098	1618	1619	109.18132099998184	109.18132099998184	109	110	-0.1813209999818354	round	sub-012	ses-205	task-s11	2	11
